source,managerCik,managerAddress,managerName,reportCalendarOrQuarter,cusip6,cusip,companyName,value,shares
https://sec.gov/Archives/edgar/data/1000097/0001000097-23-000009.txt,1000097,"152 WEST 57TH STREET, 50TH FLOOR, NEW YORK, NY, 10019","KINGDON CAPITAL MANAGEMENT, L.L.C.",2023-06-30,697435,697435105,PALO ALTO NETWORKS INC,27595080000.0,108000
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,31428X,31428X106,FEDEX CORP,310978000000.0,1254448
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,36241U,36241U106,GSI TECHNOLOGY INC,3000000.0,621
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,64110D,64110D104,NETAPP INC,64395000000.0,842850
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,65249B,65249B109,NEWS CORP NEW,3310000000.0,169733
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,654106,654106103,NIKE INC,619663000000.0,5614425
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,697435,697435105,PALO ALTO NETWORKS INC,755714000000.0,2957674
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,958102,958102105,WESTERN DIGITAL CORP.,54387000000.0,1433857
https://sec.gov/Archives/edgar/data/1001085/0000950123-23-007958.txt,1001085,"BROOKFIELD PLACE, 181 BAY ST, STE 100, PO BOX 762, TORONTO, A6, M5J2T3",BROOKFIELD Corp /ON/,2023-06-30,654106,654106103,NIKE INC,287514000.0,2605
https://sec.gov/Archives/edgar/data/1001085/0000950123-23-007958.txt,1001085,"BROOKFIELD PLACE, 181 BAY ST, STE 100, PO BOX 762, TORONTO, A6, M5J2T3",BROOKFIELD Corp /ON/,2023-06-30,697435,697435105,PALO ALTO NETWORKS INC,9120685000.0,35696
