source,managerCik,managerAddress,managerName,reportCalendarOrQuarter,cusip6,cusip,companyName,value,shares
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,64110D,64110D104,NETAPP INC,64395000000.0,842850
https://sec.gov/Archives/edgar/data/1002784/0001387131-23-009542.txt,1002784,"1875 Lawrence Street, Suite 300, Denver, CO, 80202-1805",SHELTON CAPITAL MANAGEMENT,2023-06-30,64110D,64110D104,NETAPP INC,2989085000.0,39124
https://sec.gov/Archives/edgar/data/1007280/0001007280-23-000008.txt,1007280,"277 E TOWN ST, COLUMBUS, OH, 43215",PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,2023-06-30,64110D,64110D104,Netapp Inc,8170000.0,106941
https://sec.gov/Archives/edgar/data/1007399/0001007399-23-000004.txt,1007399,"150 WEST MAIN STREET, SUITE 1700, NORFOLK, VA, 23510",WILBANKS SMITH & THOMAS ASSET MANAGEMENT LLC,2023-06-30,64110D,64110D104,NETAPP INC,505539000.0,6617
https://sec.gov/Archives/edgar/data/1008894/0001172661-23-003025.txt,1008894,"250 Park Avenue South, Suite 250, Winter Park, FL, 32789",DEPRINCE RACE & ZOLLO INC,2023-06-30,64110D,64110D104,NETAPP INC,24492389000.0,320581
https://sec.gov/Archives/edgar/data/1009076/0001009076-23-000007.txt,1009076,"POST OFFICE BOX 419248, KANSAS CITY, MO, 64141-6248",COMMERCE BANK,2023-06-30,64110D,64110D104,NETAPP INC,7748640000.0,101422
https://sec.gov/Archives/edgar/data/1009207/0001104659-23-091306.txt,1009207,"1166 AVENUE OF THE AMERICAS, Ninth Floor, New York, NY, 10036","D. E. Shaw & Co., Inc.",2023-06-30,64110D,64110D104,NETAPP INC,24710816000.0,323440
https://sec.gov/Archives/edgar/data/1016021/0001016021-23-000005.txt,1016021,"136 WHITAKER ROAD, LUTZ, FL, 33549","EDMP, INC.",2023-06-30,64110D,64110D104,NETAPP INC,358927000.0,4698
https://sec.gov/Archives/edgar/data/1018331/0001018331-23-000006.txt,1018331,"888 Boylston St, 8th Floor, Boston, MA, 02199","NATIXIS ADVISORS, L.P.",2023-06-30,64110D,64110D104,NETAPP INC,3079000.0,40296
https://sec.gov/Archives/edgar/data/1019754/0001019754-23-000003.txt,1019754,"20 STANWIX STREET, SUITE 620, PITTSBURGH, PA, 15222",Smithfield Trust Co,2023-06-30,64110D,64110D104,NETAPP INC,16000.0,215
https://sec.gov/Archives/edgar/data/1021223/0001140361-23-039294.txt,1021223,"2000 AVENUE OF THE STARS, SUITE 1110, LOS ANGELES, CA, 90067",KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,2023-06-30,64110D,64110D104,NETAPP INC COM,153000.0,2
https://sec.gov/Archives/edgar/data/1021926/0001172661-23-003039.txt,1021926,"18 York Street, Suite 1300, Toronto, A6, M5J 2T8",CIBC Asset Management Inc,2023-06-30,64110D,64110D104,NETAPP INC,2927113000.0,38313
https://sec.gov/Archives/edgar/data/1024896/0000929638-23-002262.txt,1024896,"110 EAST 59TH STREET, NEW YORK, NY, 10022","CANTOR FITZGERALD, L. P.",2023-06-30,64110D,64110D104,NETAPP INC,305600000.0,4000
https://sec.gov/Archives/edgar/data/102909/0001104659-23-090886.txt,102909,"Po Box 2600, V26, Valley Forge, PA, 19482-2600",VANGUARD GROUP INC,2023-06-30,64110D,64110D104,NETAPP INC,2111925659000.0,27643006
https://sec.gov/Archives/edgar/data/1033324/0001085146-23-002991.txt,1033324,"2-2-2 UCHISAIWAICHO, CHIYODA-KU, TOKYO, M0, 100-0011",FUKOKU MUTUAL LIFE INSURANCE Co,2023-06-30,64110D,64110D104,NETAPP INC,207044000.0,2710
https://sec.gov/Archives/edgar/data/1034549/0001034549-23-000003.txt,1034549,"445 HAMILTON AVENUE, 11TH FLOOR, NEW YORK, NY, 10601",PARADIGM ASSET MANAGEMENT CO LLC,2023-06-30,64110D,64110D104,NETAPP INC,1719000000.0,22500
https://sec.gov/Archives/edgar/data/1034642/0001034642-23-000005.txt,1034642,"177 E. COLORADO BLVD, SUITE 550, PASADENA, CA, 91105",CLIFFORD SWAN INVESTMENT COUNSEL LLC,2023-06-30,64110D,64110D104,NETAPP INC,874016000.0,11440
https://sec.gov/Archives/edgar/data/1035350/0001104659-23-088133.txt,1035350,"400 Robert Street North, St Paul, MN, 55101","SECURIAN ASSET MANAGEMENT, INC",2023-06-30,64110D,64110D104,NETAPP INC,1320345000.0,17282
https://sec.gov/Archives/edgar/data/1037389/0001037389-23-000122.txt,1037389,"800 THIRD AVE, NEW YORK, NY, 10022",RENAISSANCE TECHNOLOGIES LLC,2023-06-30,64110D,64110D104,NETAPP INC,72154000.0,944422
https://sec.gov/Archives/edgar/data/1039765/0001140361-23-038192.txt,1039765,"PO BOX 1800, AMSTERDAM, P7, 1000 BV",ING GROEP NV,2023-06-30,64110D,64110D104,NETAPP INC,12093738000.0,158295
https://sec.gov/Archives/edgar/data/1040188/0001040188-23-000069.txt,1040188,"15935 La Cantera Parkway, San Antonio, TX, 78256",VICTORY CAPITAL MANAGEMENT INC,2023-06-30,64110D,64110D104,NETAPP INC,62386177000.0,816573
https://sec.gov/Archives/edgar/data/1041283/0001104659-23-083355.txt,1041283,"477 Jericho Turnpike, P.o. Box 9006, Syosset, NY, 11791-9006",SPIRIT OF AMERICA MANAGEMENT CORP/NY,2023-06-30,64110D,64110D104,"NetApp, Inc.",198640000.0,2600
https://sec.gov/Archives/edgar/data/1044929/0001044929-23-000013.txt,1044929,"4520 MADISON AVE, SUITE 200, KANSAS CITY, MO, 64111",ATWOOD & PALMER INC,2023-06-30,64110D,64110D104,NETAPP INC,13370000.0,175
