Product ID,Product Name,Launch Date,Total Cores,Max Turbo Frequency,Cache,GPU Name‡
232167,Intel® Core™ i9-13900KS Processor,Q1'23,24,6.00 GHz,36 MB Intel® Smart Cache,Intel® UHD Graphics 770
230499,Intel® Core™ i9-13900 Processor,Q1'23,24,5.60 GHz,36 MB Intel® Smart Cache,Intel® UHD Graphics 770
232099,Intel® Core™ i9-13900E Processor,Q1'23,24,5.20 GHz,36 MB Intel® Smart Cache,Intel® UHD Graphics 770
230502,Intel® Core™ i9-13900F Processor,Q1'23,24,5.60 GHz,36 MB Intel® Smart Cache,
232135,Intel® Core™ i9-13900H Processor,Q1'23,14,5.40 GHz,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible
232144,Intel® Core™ i9-13900HK Processor,Q1'23,14,5.40 GHz,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible
232171,Intel® Core™ i9-13900HX Processor,Q1'23,24,5.40 GHz,36 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors
230498,Intel® Core™ i9-13900T Processor,Q1'23,24,5.30 GHz,36 MB Intel® Smart Cache,Intel® UHD Graphics 770
232162,Intel® Core™ i9-13900TE Processor,Q1'23,24,5.00 GHz,36 MB Intel® Smart Cache,Intel® UHD Graphics 770
232172,Intel® Core™ i9-13905H Processor,Q1'23,14,5.40 GHz,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible
232149,Intel® Core™ i9-13950HX Processor,Q1'23,24,5.50 GHz,36 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors
232138,Intel® Core™ i9-13980HX Processor,Q1'23,24,5.60 GHz,36 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors
230496,Intel® Core™ i9-13900K Processor,Q4'22,24,5.80 GHz,36 MB Intel® Smart Cache,Intel® UHD Graphics 770
230497,Intel® Core™ i9-13900KF Processor,Q4'22,24,5.8 GHz,36 MB Intel® Smart Cache,
