Section,Key,Value
Essentials,Product Collection,RAID Accessories
Essentials,Marketing Status,Discontinued
Essentials,Launch Date,Q1'10
Essentials,Expected Discontinuance,Q2'13
Essentials,EOL Announce,"Sunday, June 30, 2013"
Essentials,Last Order,"Tuesday, December 31, 2013"
Essentials,Last Receipt Attributes,"Wednesday, April 30, 2014"
Essentials,Long Life,No
Essentials,Target Market,Mainstream
Essentials,Included Items,DIMM and installation instructions
Supplemental Information,Description,512 MB Mini DIMM registered DDR-2 for use with FALSASMP2
