Section,Key,Value
Essentials,Product Collection,Drive Bay Options
Essentials,Code Name,Products formerly Jefferson Pass
Essentials,Marketing Status,Discontinued
Essentials,Launch Date,Q3'12
Essentials,Expected Discontinuance,Q4'16
Essentials,EOL Announce,"Thursday, December 15, 2016"
Essentials,Last Order,"Wednesday, March 1, 2017"
Essentials,Last Receipt Attributes,"Thursday, June 1, 2017"
Essentials,Included Items,"(1) 6Gb/s SAS bridge board, (1) 6Gb/s SAS cable"
Supplemental Information,Description,6Gb/s SAS bridge board and cable accessories kit (not cable-free) for Intel® Compute Module product families
