Product ID,Product Name,Launch Date,Total Cores,ClockSpeedMax,Cache,GPU Name‡
122590,Intel® Core™ i3-7020U Processor,Q2'18,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 620
124977,Intel® Core™ i3-7130U Processor,Q2'17,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 620
97455,Intel® Core™ i3-7100 Processor,Q1'17,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 630
97131,Intel® Core™ i3-7100E Processor,Q1'17,2,,3 MB,Intel® HD Graphics 630
97126,Intel® Core™ i3-7100H Processor,Q1'17,2,,3 MB,Intel® HD Graphics 630
97485,Intel® Core™ i3-7100T Processor,Q1'17,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 630
97130,Intel® Core™ i3-7101E Processor,Q1'17,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 630
97125,Intel® Core™ i3-7101TE Processor,Q1'17,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 630
97124,Intel® Core™ i3-7102E Processor,Q1'17,2,,3 MB,Intel® HD Graphics 630
97666,Intel® Core™ i3-7167U Processor,Q1'17,2,,3 MB,Intel® Iris® Plus Graphics 650
97458,Intel® Core™ i3-7300 Processor,Q1'17,2,,4 MB Intel® Smart Cache,Intel® HD Graphics 630
97457,Intel® Core™ i3-7300T Processor,Q1'17,2,,4 MB Intel® Smart Cache,Intel® HD Graphics 630
97484,Intel® Core™ i3-7320 Processor,Q1'17,2,,4 MB Intel® Smart Cache,Intel® HD Graphics 630
97527,Intel® Core™ i3-7350K Processor,Q1'17,2,,4 MB Intel® Smart Cache,Intel® HD Graphics 630
95442,Intel® Core™ i3-7100U Processor,Q3'16,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 620
