Section,Key,Value
Ordering and Spec Information,,
Agilex™ 3 FPGA C-Series 135 (M16A) A3CW135BM16AE6S,Ordering Code,A3CW135BM16AE6S
Agilex™ 3 FPGA C-Series 135 (M16A) A3CW135BM16AE6S,Spec Code,SRV3Y
Agilex™ 3 FPGA C-Series 135 (M16A) A3CW135BM16AE6S,Shipping Media,TRAY
Agilex™ 3 FPGA C-Series 135 (M16A) A3CW135BM16AE6S,Stepping,B0
Agilex™ 3 FPGA C-Series 135 (M16A) A3CW135BM16AE6S,MDDS Content IDs,847895
Agilex™ 3 FPGA C-Series 135 (M16A) A3CW135BM16AI6S,Ordering Code,A3CW135BM16AI6S
Agilex™ 3 FPGA C-Series 135 (M16A) A3CW135BM16AI6S,Spec Code,SRV3Z
Agilex™ 3 FPGA C-Series 135 (M16A) A3CW135BM16AI6S,Shipping Media,TRAY
Agilex™ 3 FPGA C-Series 135 (M16A) A3CW135BM16AI6S,Stepping,B0
Agilex™ 3 FPGA C-Series 135 (M16A) A3CW135BM16AI6S,MDDS Content IDs,847895
Agilex™ 3 FPGA C-Series 135 (M16A) A3CY135BM16AE6S,Ordering Code,A3CY135BM16AE6S
Agilex™ 3 FPGA C-Series 135 (M16A) A3CY135BM16AE6S,Spec Code,SRV46
Agilex™ 3 FPGA C-Series 135 (M16A) A3CY135BM16AE6S,Shipping Media,TRAY
Agilex™ 3 FPGA C-Series 135 (M16A) A3CY135BM16AE6S,Stepping,B0
Agilex™ 3 FPGA C-Series 135 (M16A) A3CY135BM16AE6S,MDDS Content IDs,844140
Agilex™ 3 FPGA C-Series 135 (M16A) A3CY135BM16AE7S,Ordering Code,A3CY135BM16AE7S
Agilex™ 3 FPGA C-Series 135 (M16A) A3CY135BM16AE7S,Spec Code,SRV47
Agilex™ 3 FPGA C-Series 135 (M16A) A3CY135BM16AE7S,Shipping Media,TRAY
Agilex™ 3 FPGA C-Series 135 (M16A) A3CY135BM16AE7S,Stepping,B0
Agilex™ 3 FPGA C-Series 135 (M16A) A3CY135BM16AE7S,MDDS Content IDs,844140
Agilex™ 3 FPGA C-Series 135 (M16A) A3CY135BM16AI6S,Ordering Code,A3CY135BM16AI6S
Agilex™ 3 FPGA C-Series 135 (M16A) A3CY135BM16AI6S,Spec Code,SRV49
Agilex™ 3 FPGA C-Series 135 (M16A) A3CY135BM16AI6S,Shipping Media,TRAY
Agilex™ 3 FPGA C-Series 135 (M16A) A3CY135BM16AI6S,Stepping,B0
Agilex™ 3 FPGA C-Series 135 (M16A) A3CY135BM16AI6S,MDDS Content IDs,844140
Agilex™ 3 FPGA C-Series 135 (M16A) A3CY135BM16AI7S,Ordering Code,A3CY135BM16AI7S
Agilex™ 3 FPGA C-Series 135 (M16A) A3CY135BM16AI7S,Spec Code,SRV4A
Agilex™ 3 FPGA C-Series 135 (M16A) A3CY135BM16AI7S,Shipping Media,TRAY
Agilex™ 3 FPGA C-Series 135 (M16A) A3CY135BM16AI7S,Stepping,B0
Agilex™ 3 FPGA C-Series 135 (M16A) A3CY135BM16AI7S,MDDS Content IDs,844140
Agilex™ 3 FPGA C-Series 135 (M16A) A3CZ135BM16AI7S,Ordering Code,A3CZ135BM16AI7S
Agilex™ 3 FPGA C-Series 135 (M16A) A3CZ135BM16AI7S,Spec Code,SRV4F
Agilex™ 3 FPGA C-Series 135 (M16A) A3CZ135BM16AI7S,Shipping Media,TRAY
Agilex™ 3 FPGA C-Series 135 (M16A) A3CZ135BM16AI7S,Stepping,B0
Agilex™ 3 FPGA C-Series 135 (M16A) A3CZ135BM16AE7S,Ordering Code,A3CZ135BM16AE7S
Agilex™ 3 FPGA C-Series 135 (M16A) A3CZ135BM16AE7S,Spec Code,SRV4H
Agilex™ 3 FPGA C-Series 135 (M16A) A3CZ135BM16AE7S,Shipping Media,TRAY
Agilex™ 3 FPGA C-Series 135 (M16A) A3CZ135BM16AE7S,Stepping,B0
Trade Compliance Information,ECCN,3A991.D
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542390070
