Product ID,Product Name,Launch Date,Marketing Status,FormFactor,ServerSystemType,SupportedCPUSocket
214931,2U Bezel CYP2UBEZEL,Q2'21,Discontinued,,,
203674,1U Front Bezel MYP1UBEZEL,Q2'20,Discontinued,,,
136402,1U Front Bezel AXXAF1BEZEL,Q2'18,Discontinued,,,
60267,2U Bezel A2UBEZEL,Q2'12,Discontinued,,,
60266,1U Bezel A1UBEZEL,Q1'12,Discontinued,,,
60233,Rack Bezel Door AUPBEZEL4UD  (for Intel® Server Chassis P4000 Family),Q1'12,Discontinued,,,
60232,Rack Bezel Frame  (No Door) AUPBEZEL4UF (for Intel® Server Chassis P4000 Family),Q1'12,Discontinued,,,
63171,Black Bezel ADWRXBLACK,Q3'11,Discontinued,,,
53756,Chassis Bezel A1695GPRXBEZEL,Q3'10,Discontinued,,,
59515,Black Bezel ASR2612BEZEL,Q2'09,Discontinued,,,
51168,Black Bezel for Local Control Panel ADRLCDBEZEL,Q1'09,Discontinued,,,
51172,Black Bezel for Local Control Panel ASR1550LCDBEZ,Q1'09,Discontinued,,,
51173,Black Bezel for Mini Control Panel ASR1550MINBEZ,Q1'09,Discontinued,,,
51167,Black Bezel for Standard Control Panel ADRBEZBLACK,Q1'09,Discontinued,,,
51166,Black Bezel for Standard Control Panel ADWBEZBLACK,Q1'09,Discontinued,,,
51174,Black Bezel with Optional Cosmetic Outer Bezel AHJBEZBLACK,Q1'09,Discontinued,,,
51170,Front Bezel AHW4URBEZEL,Q3'07,Discontinued,,,
51169,Chassis bezel branding panels ARIGBEZPNL,Q2'06,Discontinued,,,
51175,Black Bezel for Standard Control Panel ASR1550BEZ,Q1'06,Discontinued,,,
51165,Spare Bezel with Door APP3STDBEZEL,Q1'06,Discontinued,,,
