Section,Key,Value
Essentials,Product Collection,Cyclone® V SE SoC FPGA
Essentials,Marketing Status,Launched
Essentials,Launch Date,2012
Essentials,Lithography,28 nm
Resources,Logic Elements (LE),110000
Resources,Adaptive Logic Modules (ALM),41509
Resources,Adaptive Logic Module (ALM) Registers,166036
Resources,Fabric and I/O Phase-Locked Loops (PLLs),6
Resources,Maximum Embedded Memory,6.191 Mb
Resources,Digital Signal Processing (DSP) Blocks,112
Resources,Digital Signal Processing (DSP) Format,Variable Precision
Resources,Hard Processor System (HPS),Single Arm* Cortex*-A9 or Dual-core Arm* Cortex*-A9
Resources,Hard Memory Controllers,Yes
Resources,External Memory Interfaces (EMIF),"DDR2, DDR3, LPDDR2"
I/O Specifications,Maximum User I/O Count†,288
I/O Specifications,I/O Standards Support,"3.0 V to 3.3 V LVTTL, 1.2 V to 3.3 V LVCMOS, PCI, PCI-X, SSTL, HSTL, HSUL, Differential SSTL, Differential HSTL, Differential HSUL, LVDS, Mini-LVDS, RSDS, LVPECL, HiSpi, SLVS, Sub-LVDS"
I/O Specifications,Maximum LVDS Pairs,144
Advanced Technologies,FPGA Bitstream Security,Yes
Advanced Technologies,Analog-to-Digital Converter,No
Package Specifications,Package Options,"U484, U672, F896"
Supplemental Information,Additional Information,Product Table (Family Comparison)DatasheetAll FPGA Documentation
