Section,Key,Value
Essentials,Product Collection,Intel® Cyclone® Development Kits
Essentials,Marketing Status,Launched
Essentials,Launch Date,2011
Essentials,Featured FPGA,Cyclone® V E FPGA 5CEFA7F31I7N
Essentials,Logic Elements (LE),149500
Essentials,On-chip Memory,7.7 Mb
Essentials,DSP Blocks,156
Essentials,FPGA Package,F31
Essentials,Board Type,General Purpose
Essentials,Ordering Part Number,DK-DEV-5CEA7N
Essentials,Distributor Availability,ArrowDigiKeyMouser
Board Specifications,Interfaces,"USB, PHY, MAX V CPLD"
Board Specifications,Expansion,JTAG
Board Specifications,Memory,"DDR3,DDR2, LPDDR2, SSRAM, EEPROM"
Board Specifications,Special Feature,LCD
Board Specifications,Versions,Production
Supplemental Information,Description,"Offers a comprehensive general purpose development platform for many markets and applications, including Industrial Networking, Military, and Medical applications."
Supplemental Information,User Guide,View now
