Section,Key,Value
Essentials,Product Collection,I/O Options
Essentials,Code Name,Products formerly Kennedy Pass
Essentials,Marketing Status,Discontinued
Essentials,Launch Date,Q2'15
Essentials,Expected Discontinuance,Q3'20
Essentials,EOL Announce,"Tuesday, April 21, 2020"
Essentials,Last Order,"Sunday, July 5, 2020"
Essentials,Last Receipt Attributes,"Monday, October 5, 2020"
Essentials,Included Items,"(1) AXX10GBTWLHW3 module, screws, port label."
Supplemental Information,Description,"Dual Port 10GBaseT IO module, based on Intel® Ethernet Controller X540 used on S2600TP, S2600KP, S1600JP and S1200V3RP server boards"
