Section,Key,Value
Essentials,Product Collection,Cable Options
Essentials,Code Name,Products formerly Sawtooth
Essentials,Marketing Status,Discontinued
Essentials,Launch Date,Q3.17
Essentials,Expected Discontinuance,2022
Essentials,EOL Announce,"Friday, August 26, 2022"
Essentials,Last Order,"Friday, December 30, 2022"
Essentials,Last Receipt Attributes,"Friday, June 30, 2023"
Essentials,Included Items,(1) – 30-pin 920mm front panel cable(1) – 800mm USB 3.0 cable for front panel
Supplemental Information,Description,Spare Front Panel Cable Kit
