Section,Key,Value
Ordering and Spec Information,,
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE6S,Ordering Code,A5EC013BM16AE6S
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE6S,Spec Code,SRTPL
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE6S,Shipping Media,TRAY
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE6S,Stepping,B0
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE6S,MDDS Content IDs,847884
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE6S,ECCN,3A991.D
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE6S,CCATS,NA
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AI6S,Ordering Code,A5EC013BM16AI6S
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AI6S,Spec Code,SRUMC
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AI6S,Shipping Media,TRAY
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AI6S,Stepping,B0
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AI6S,MDDS Content IDs,847884
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AI6S,ECCN,3A991.D
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AI6S,CCATS,NA
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE4S,Ordering Code,A5EC013BM16AE4S
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE4S,Spec Code,SRUME
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE4S,Shipping Media,TRAY
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE4S,Stepping,B0
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE4S,MDDS Content IDs,847884
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE4S,ECCN,3A991.D
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE4S,CCATS,NA
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE5S,Ordering Code,A5EC013BM16AE5S
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE5S,Spec Code,SRUMK
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE5S,Shipping Media,TRAY
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE5S,Stepping,B0
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE5S,MDDS Content IDs,847884
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE5S,ECCN,3A991.D
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE5S,CCATS,NA
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AI5S,Ordering Code,A5EC013BM16AI5S
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AI5S,Spec Code,SRUMM
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AI5S,Shipping Media,TRAY
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AI5S,Stepping,B0
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AI5S,MDDS Content IDs,847884
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AI5S,ECCN,3A991.D
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AI5S,CCATS,NA
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AI4S,Ordering Code,A5EC013BM16AI4S
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AI4S,Spec Code,SRUMP
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AI4S,Shipping Media,TRAY
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AI4S,Stepping,B0
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AI4S,MDDS Content IDs,847884
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AI4S,ECCN,3A991.D
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AI4S,CCATS,NA
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE6X,Ordering Code,A5EC013BM16AE6X
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE6X,Spec Code,SRUMR
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE6X,Shipping Media,TRAY
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE6X,Stepping,B0
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE6X,MDDS Content IDs,847884
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE6X,ECCN,3A991.D
Intel Agilex® 5 FPGA E-Series 013B (M16A) A5EC013BM16AE6X,CCATS,NA
