Section,Key,Value
Ordering and Spec Information,,
"Intel Atom® Processor C3758R (16M Cache, 2.40 GHz) FC-BGA15C, Tray",Ordering Code,HW8076504490001
"Intel Atom® Processor C3758R (16M Cache, 2.40 GHz) FC-BGA15C, Tray",Spec Code,SRH4F
"Intel Atom® Processor C3758R (16M Cache, 2.40 GHz) FC-BGA15C, Tray",Shipping Media,TRAY
"Intel Atom® Processor C3758R (16M Cache, 2.40 GHz) FC-BGA15C, Tray",Stepping,B1
"Intel Atom® Processor C3758R (16M Cache, 2.40 GHz) FC-BGA15C, Tray",MDDS Content IDs,706272
"Intel Atom® Processor C3758R (16M Cache, 2.40 GHz) FC-BGA15C, Tray",Recommended Customer Price,$224.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G186216L1
Trade Compliance Information,US HTS,8542310050
