Section,Key,Value
Retired and discontinued,,
"Intel Atom® Processor D2550 (1M Cache, 1.86 GHz) FC-BGA, Tray",Ordering Code,DF8064101211300
"Intel Atom® Processor D2550 (1M Cache, 1.86 GHz) FC-BGA, Tray",Spec Code,SR0VY
"Intel Atom® Processor D2550 (1M Cache, 1.86 GHz) FC-BGA, Tray",Shipping Media,TRAY
"Intel Atom® Processor D2550 (1M Cache, 1.86 GHz) FC-BGA, Tray",Stepping,B3
"Intel Atom® Processor D2550 (1M Cache, 1.86 GHz) FC-BGA, Tray",MDDS Content IDs,708010
"Intel Atom® Processor D2550 (1M Cache, 1.86 GHz) FC-BGA, Tray",PCN Content IDs,"802395,795943,802934,799685,803212,802692,804765,804340,805021,805104,806372,813819,806919,809472,813824"
Trade Compliance Information,ECCN,3A991
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542310050
