Section,Key,Value
Ordering and Spec Information,,
"Intel Atom® Processor E3805 (1M Cache, 1.33 GHz) FC-BGA13F, Tray",Ordering Code,FH8065301989700
"Intel Atom® Processor E3805 (1M Cache, 1.33 GHz) FC-BGA13F, Tray",Spec Code,SR20Y
"Intel Atom® Processor E3805 (1M Cache, 1.33 GHz) FC-BGA13F, Tray",Shipping Media,TRAY
"Intel Atom® Processor E3805 (1M Cache, 1.33 GHz) FC-BGA13F, Tray",Stepping,D0
"Intel Atom® Processor E3805 (1M Cache, 1.33 GHz) FC-BGA13F, Tray",MDDS Content IDs,"706687,707222"
"Intel Atom® Processor E3805 (1M Cache, 1.33 GHz) FC-BGA13F, Tray",PCN Content IDs,"795943,799112,799624,802395,802589,805104,804340,804353,809238,813820"
"Intel Atom® Processor E3805 (1M Cache, 1.33 GHz) FC-BGA13F, Tray",Recommended Customer Price,$25.00
Retired and discontinued,,
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G143235
Trade Compliance Information,US HTS,8542310050
