Product ID,Product Name,Launch Date,Total Cores,ClockSpeedMax,Processor Base Frequency,Cache,MaxTDP
91319,Intel Atom® Processor Z3590,Q3'15,4,,,2 MB,
84324,Intel Atom® Processor Z3570,Q3'14,4,,,2 MB,
82115,Intel Atom® Processor Z3736F,Q2'14,4,,1.33 GHz,2 MB L2 Cache,
82116,Intel Atom® Processor Z3736G,Q2'14,4,,1.33 GHz,2 MB L2 Cache,
84072,Intel Atom® Processor Z3530,Q2'14,4,,,2 MB,
80888,Intel Atom® Processor Z3785,Q2'14,4,,1.49 GHz,2 MB L2 Cache,
81194,Intel Atom® Processor Z3560,Q2'14,4,,,2 MB,
81195,Intel Atom® Processor Z3580,Q2'14,4,,,2 MB,
80274,Intel Atom® Processor Z3735F,Q1'14,4,,1.33 GHz,2 MB L2 Cache,
80275,Intel Atom® Processor Z3735G,Q1'14,4,,1.33 GHz,2 MB L2 Cache,
70103,Intel Atom® Processor Z3460,Q1'14,2,,,1 MB Intel® Smart Cache,
70102,Intel Atom® Processor Z3480,Q1'14,2,,,1 MB Intel® Smart Cache,
80272,Intel Atom® Processor Z3735D,Q1'14,4,,1.33 GHz,2 MB L2 Cache,
80273,Intel Atom® Processor Z3735E,Q1'14,4,,1.33 GHz,2 MB L2 Cache,
80269,Intel Atom® Processor Z3775D,Q1'14,4,,1.49 GHz,2 MB L2 Cache,
80267,Intel Atom® Processor Z3795,Q1'14,4,,1.59 GHz,2 MB L2 Cache,
80270,Intel Atom® Processor Z3745,Q1'14,4,,1.33 GHz,2 MB L2 Cache,
80271,Intel Atom® Processor Z3745D,Q1'14,4,,1.33 GHz,2 MB L2 Cache,
80268,Intel Atom® Processor Z3775,Q1'14,4,,1.46 GHz,2 MB L2 Cache,
76759,Intel Atom® Processor Z3740,Q3'13,4,,1.33 GHz,2 MB L2 Cache,
78416,Intel Atom® Processor Z3740D,Q3'13,4,,1.33 GHz,2 MB L2 Cache,
76760,Intel Atom® Processor Z3770,Q3'13,4,,1.46 GHz,2 MB L2 Cache,
78415,Intel Atom® Processor Z3770D,Q3'13,4,,1.50 GHz,2 MB L2 Cache,
75203,Intel Atom® Processor Z2520,Q2'13,2,,1.20 GHz,1 MB Intel® Smart Cache,
70101,Intel Atom® Processor Z2560,Q2'13,2,,,1 MB Intel® Smart Cache,
70100,Intel Atom® Processor Z2580,Q2'13,2,,,1 MB Intel® Smart Cache,
70814,Intel Atom® Processor Z2420,Q1'13,1,,,512 KB Intel® Smart Cache,
70097,Intel Atom® Processor Z2480,Q3'12,1,,,512 KB Intel® Smart Cache,
70105,Intel Atom® Processor Z2760,Q3'12,2,,1.80 GHz,1 MB L2 Cache,
70098,Intel Atom® Processor Z2460,Q2'12,1,,,512 KB Intel® Smart Cache,
