Section,Key,Value
Essentials,Product Collection,Intel Atom® Processor Z Series
Essentials,Code Name,Products formerly Penwell
Essentials,Vertical Segment,Mobile
Essentials,Processor Number,Z2460
Essentials,Lithography,32 nm
CPU Specifications,Total Cores,1
CPU Specifications,Total Threads,2
CPU Specifications,Burst Frequency,1.60 GHz
CPU Specifications,Cache,512 KB Intel® Smart Cache
Supplemental Information,Marketing Status,Discontinued
Supplemental Information,Launch Date,Q2'12
Supplemental Information,Expected Discontinuance,7/4/14
Supplemental Information,Embedded Options Available,No
Memory Specifications,Max Memory Size (dependent on memory type),2 GB
Memory Specifications,Memory Types,LPDDR2 800
Memory Specifications,Max # of Memory Channels,2
Memory Specifications,Max Memory Bandwidth,6.4 GB/s
Memory Specifications,Physical Address Extensions,32-bit
GPU Specifications,Graphics Base Frequency,400 MHz
GPU Specifications,Graphics Output,HDMI
GPU Specifications,# of Displays Supported‡,2
I/O Specifications,# of USB Ports,1
I/O Specifications,USB Revision,2.0 OTG
I/O Specifications,General Purpose IO,152
I/O Specifications,UART,3
Package Specifications,Sockets Supported,FC-MB4617
Package Specifications,Max CPU Configuration,1
Package Specifications,TJUNCTION,90
Package Specifications,Package Size,12mm x 12mm
Advanced Technologies,Intel® Hyper-Threading Technology‡,Yes
Advanced Technologies,Instruction Set,32-bit
Advanced Technologies,Instruction Set Extensions,"Intel® SSE, Intel® SSE2, Intel® SSE3"
Advanced Technologies,Idle States,Yes
Advanced Technologies,Enhanced Intel SpeedStep® Technology,Yes
Advanced Technologies,Thermal Monitoring Technologies,Yes
Security & Reliability,Execute Disable Bit‡,Yes
