Section,Key,Value
Retired and discontinued,,
"Intel Atom® Processor Z3736G (2M Cache, up to 2.16 GHz) FC-BGA13F, Tray",Ordering Code,FH8065301685971
"Intel Atom® Processor Z3736G (2M Cache, up to 2.16 GHz) FC-BGA13F, Tray",Spec Code,SR20E
"Intel Atom® Processor Z3736G (2M Cache, up to 2.16 GHz) FC-BGA13F, Tray",Shipping Media,TRAY
"Intel Atom® Processor Z3736G (2M Cache, up to 2.16 GHz) FC-BGA13F, Tray",Stepping,C0
"Intel Atom® Processor Z3736G (2M Cache, up to 2.16 GHz) FC-BGA13F, Tray",MDDS Content IDs,707222
"Intel Atom® Processor Z3736G (2M Cache, up to 2.16 GHz) FC-BGA13F, Tray",PCN Content IDs,"799902,802395,803361,804340,805104,809238"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G143235
Trade Compliance Information,US HTS,8542310050
