Section,Key,Value
Retired and discontinued,,
"Intel Atom® Processor Z3740D (2M Cache, up to 1.83 GHz) FC-BGA13F, Tray",Ordering Code,FH8065301574825
"Intel Atom® Processor Z3740D (2M Cache, up to 1.83 GHz) FC-BGA13F, Tray",Spec Code,SR1S0
"Intel Atom® Processor Z3740D (2M Cache, up to 1.83 GHz) FC-BGA13F, Tray",Shipping Media,TRAY
"Intel Atom® Processor Z3740D (2M Cache, up to 1.83 GHz) FC-BGA13F, Tray",Stepping,B3
"Intel Atom® Processor Z3740D (2M Cache, up to 1.83 GHz) FC-BGA13F, Tray",MDDS Content IDs,707222
"Intel Atom® Processor Z3740D (2M Cache, up to 1.83 GHz) FC-BGA13F, Tray",PCN Content IDs,"803212,802395,804340,809238,805104,806594,808810"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G143235
Trade Compliance Information,US HTS,8542310050
