Section,Key,Value
Ordering and Spec Information,,
"Intel Atom® x5-E3940 Processor (2M Cache, up to 1.80 GHz) FC-BGA15C, Tray",Ordering Code,LH8066803102401
"Intel Atom® x5-E3940 Processor (2M Cache, up to 1.80 GHz) FC-BGA15C, Tray",Spec Code,SR33M
"Intel Atom® x5-E3940 Processor (2M Cache, up to 1.80 GHz) FC-BGA15C, Tray",Shipping Media,TRAY
"Intel Atom® x5-E3940 Processor (2M Cache, up to 1.80 GHz) FC-BGA15C, Tray",Stepping,B1
"Intel Atom® x5-E3940 Processor (2M Cache, up to 1.80 GHz) FC-BGA15C, Tray",MDDS Content IDs,"708432,862449"
"Intel Atom® x5-E3940 Processor (2M Cache, up to 1.80 GHz) FC-BGA15C, Tray",PCN Content IDs,"799342,795943,799624,799685,812098,807614,809472"
"Intel Atom® x5-E3940 Processor (2M Cache, up to 1.80 GHz) FC-BGA15C, Tray",Recommended Customer Price,$34.00
Retired and discontinued,,
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G154294
Trade Compliance Information,US HTS,8542310050
