Section,Key,Value
Retired and discontinued,,
"Intel Atom® x7-Z8700 Processor (2M Cache, up to 2.40 GHz) FC-BGA15F, Tray",Ordering Code,FJ8066401715809
"Intel Atom® x7-Z8700 Processor (2M Cache, up to 2.40 GHz) FC-BGA15F, Tray",Spec Code,SR27M
"Intel Atom® x7-Z8700 Processor (2M Cache, up to 2.40 GHz) FC-BGA15F, Tray",Shipping Media,TRAY
"Intel Atom® x7-Z8700 Processor (2M Cache, up to 2.40 GHz) FC-BGA15F, Tray",Stepping,C0
"Intel Atom® x7-Z8700 Processor (2M Cache, up to 2.40 GHz) FC-BGA15F, Tray",MDDS Content IDs,706796
"Intel Atom® x7-Z8700 Processor (2M Cache, up to 2.40 GHz) FC-BGA15F, Tray",PCN Content IDs,"795943,799624,804340,804610,805104,810832"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G143235
Trade Compliance Information,US HTS,8542310050
