Section,Key,Value
Essentials,Product Collection,Intel® Server D40AMP Family
Essentials,Code Name,Products formerly American Pass
Essentials,Launch Date,Q4'21
Essentials,Marketing Status,Discontinued
Essentials,Expected Discontinuance,31 DEC 2022
Essentials,EOL Announce,"Monday, July 11, 2022"
Essentials,Last Order,"Wednesday, November 30, 2022"
Essentials,Limited 3-year Warranty,Yes
Essentials,Extended Warranty Available for Purchase (Select Countries),Yes
Essentials,Additional Extended Warranty Details,Dual Processor Board Extended Warranty
Essentials,Supported Operating Systems,"VMware ESXi* 7.0, Windows Server 2022*, Windows Server 2019*, Red Hat Enterprise Linux 8.4*, SUSE Linux Enterprise Server 15 SP3*"
Essentials,Chassis Form Factor,Rack
Essentials,Board Form Factor,8.33” x 21.5”
Essentials,Compatible Product Series,3rd Generation Intel® Xeon® Scalable Processors
Essentials,Socket,Dual Socket-P4 4189
Essentials,TDP,205 W
Essentials,System Board,Intel® Server Board D40AMP1SB
Essentials,Target Market,High Performance Computing
Essentials,Rack-Friendly Board,Yes
Essentials,Included Items,"(1) 1U half-width module tray – iPN M28502-xxx(1) Intel® Server Board D40AMP1SB(1) 1U compute module airduct – iPN K61940-xxx(2) 1U low-profile PCIe* riser card –TNP1UCRRISER(2) 1U riser bracket to support TNP1UCRRISER- iPN K25206-xxx(1) 1U Air-Cooled front Heat Sink  TNP1UHSF(1) 1U Air-Cooled Rear Heat Sink TNP1UHSB(2) Processor carrier clip, for 3rd Gen Intel® Xeon® processor Scalable supported by D40AMP product family – iPN J98484-xxx(2) M.2 heatsink assembly TNPM2HS"
Supplemental Information,Description,"1U half-width compute module with the Intel® Server Board D40AMP at its heart and supporting the 3rd Gen Intel® Xeon® Scalable processors, it builds upon its features to provide support for internal storage, and PCIe* 4.0 expansion options"
Memory & Storage,Storage Profile,All-Flash Storage Profile
Memory & Storage,Memory Types,DDR4 (RDIMM)3DS-RDIMMLoad Reduced DDR4 (LRDIMM)3DS-LRDIMM
Memory & Storage,# of Memory Slots,24
Memory & Storage,Max Memory Size (dependent on memory type),6 TB
Memory & Storage,Intel® Optane™ Persistent Memory Supported,Yes
GPU Specifications,Integrated Graphics‡,Yes
Expansion Options,PCI Express Revision,4.0
Expansion Options,Riser Slot 1: Total # of Lanes,16
Expansion Options,Riser Slot 2: Total # of Lanes,16
I/O Specifications,# of USB Ports,3
I/O Specifications,Total # of SATA Ports,2
I/O Specifications,USB Configuration,(1) USB 3.0 ports(2) USB 3.0 ports (dual-stack on break-out cable)
I/O Specifications,Max # of UPI Links,3
I/O Specifications,RAID Configuration,0/1/5
I/O Specifications,# of Serial Ports,1
I/O Specifications,Integrated LAN,1
Package Specifications,Max CPU Configuration,2
Advanced Technologies,Advanced System Management key,Yes
Advanced Technologies,Intel® Optane™ Memory Supported‡,Yes
Advanced Technologies,Integrated BMC with IPMI,IPMI 2.0 & Redfish
Advanced Technologies,Intel® Node Manager,Yes
Advanced Technologies,Intel® On-Demand Redundant Power,Yes
Advanced Technologies,Intel® Advanced Management Technology,Yes
Advanced Technologies,Intel® Server Customization Technology,Yes
Advanced Technologies,Intel® Efficient Power Technology,Yes
Advanced Technologies,Intel® Quiet Thermal Technology,Yes
Advanced Technologies,Intel® Virtualization Technology for Directed I/O (VT-d)‡,Yes
Advanced Technologies,Intel® Quiet System Technology,Yes
Advanced Technologies,Intel® Flex Memory Access,Yes
Advanced Technologies,TPM Version,2.0
