Section,Key,Value
Retired and discontinued,,
"Intel® Arc™ Pro A30M Graphics, FC-BGA16F, Tray",Ordering Code,FD8071104610753
"Intel® Arc™ Pro A30M Graphics, FC-BGA16F, Tray",Spec Code,SRLG2
"Intel® Arc™ Pro A30M Graphics, FC-BGA16F, Tray",Shipping Media,TRAY
"Intel® Arc™ Pro A30M Graphics, FC-BGA16F, Tray",Stepping,B1
"Intel® Arc™ Pro A30M Graphics, FC-BGA16F, Tray",MDDS Content IDs,732847
"Intel® Arc™ Pro A30M Graphics, FC-BGA16F, Tray",PCN Content IDs,855344
Trade Compliance Information,ECCN,EAR99
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542310040
