Section,Key,Value
Ordering and Spec Information,,
"Intel® Arc™ Pro A50 Graphics, bulk",Ordering Code,23P6PC00BA
"Intel® Arc™ Pro A50 Graphics, bulk",MDDS Content IDs,780089
"Intel® Arc™ Pro A50 Graphics, bulk",ECCN,EAR99
Retired and discontinued,,
"Intel® Arc™ Pro A50 Graphics, multi-pack",Ordering Code,23P6PC00BALP
"Intel® Arc™ Pro A50 Graphics, multi-pack",MDDS Content IDs,780089
"Intel® Arc™ Pro A50 Graphics, multi-pack",ECCN,3A991.P.1
"Intel® Arc™ Pro A50 Graphics, multi-pack",PCN Content IDs,853773
Trade Compliance Information,ECCN,Varies By Product
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8473301180
