Section,Key,Value
Essentials,Product Collection,Intel® Arc™ Pro A-Series Graphics
Essentials,Model Number,Pro A60
Essentials,Code Name,Products formerly Alchemist
Essentials,Microarchitecture,Xe HPG
Essentials,Lithography Type,TSMC N6
Essentials,Marketing Status,Launched
Essentials,Launch Date,Q2'23
Essentials,Expected Discontinuance,July 2026
Essentials,Warranty Period,3  yrs
Essentials,Embedded Options Available,No
GPU Specifications,Xe-cores,16
GPU Specifications,Render Slices,4
GPU Specifications,Ray Tracing Units,16
GPU Specifications,Intel® XeMatrix Extensions (Intel® XMX) Engines,256
GPU Specifications,XeVector Engines,256
GPU Specifications,Execution Units,256
GPU Specifications,Graphics Clock,2000 MHz
GPU Specifications,GPU Peak TOPS (Int8),151
GPU Specifications,TBP,130 W
GPU Specifications,PCI Express Configurations‡,Up to PCI Express 4.0 x16
GPU Specifications,Device ID,0x56B3
Memory Specifications,Memory Size,12 GB
Memory Specifications,Memory Type,GDDR6
Memory Specifications,Graphics Memory Interface,192 bit
Memory Specifications,Graphics Memory Bandwidth,384 GB/s
Memory Specifications,Graphics Memory Speed,16 Gbps
I/O Specifications,# of Displays Supported‡,4
I/O Specifications,Graphics Output‡,"eDP* 1.4, DP 2.0 up to UHBR 10**, HDMI* 2.1, HDMI* 2.0b"
I/O Specifications,Max Resolution (HDMI)‡,4096 x 2160@60Hz
I/O Specifications,Max Resolution (DP)‡,7680 x 4320@60Hz
Features,H.264 Hardware Encode/Decode,Yes
Features,H.265 (HEVC) Hardware Encode/Decode,Yes
Features,AV1 Encode/Decode,Yes
Features,VP9 Bitstream & Decoding,Yes
Supported Technologies,Ray Tracing,Yes
Supported Technologies,oneAPI Support,Yes
Supported Technologies,OpenVINO™ Support,Yes
Supported Technologies,DirectX* Support,DirectX 12 Ultimate
Supported Technologies,Vulkan*  Support,1.3
Supported Technologies,OpenGL* Support,Up to 4.6
Supported Technologies,OpenCL* Support,3.0
Supported Technologies,Multi-Format Codec Engines,2
Supported Technologies,VESA Adaptive Sync,Yes
Intel® Deep Link Technologies,Intel® Deep Link Hyper Compute‡,Yes
Intel® Deep Link Technologies,Intel® Deep Link Hyper Encode‡,Yes
Intel® Deep Link Technologies,Intel® Deep Link Stream Assist‡,Yes
