Section,Key,Value
Essentials,Product Collection,Intel® Arria® 10 GX FPGA
Essentials,Marketing Status,Launched
Essentials,Launch Date,2013
Essentials,Lithography,20 nm
Resources,Logic Elements (LE),480000
Resources,Adaptive Logic Modules (ALM),181790
Resources,Adaptive Logic Module (ALM) Registers,727160
Resources,Fabric and I/O Phase-Locked Loops (PLLs),24
Resources,Maximum Embedded Memory,32.3 Mb
Resources,Digital Signal Processing (DSP) Blocks,1368
Resources,Digital Signal Processing (DSP) Format,"Multiply, Multiply and Accumulate, Variable Precision, Fixed Point (hard IP), Floating Point (hard IP)"
Resources,Hard Memory Controllers,Yes
Resources,External Memory Interfaces (EMIF),"DDR4, DDR3, QDR II, QDR II+, RLDRAM 3, QDR IV, LPDDR3, DDR3L"
I/O Specifications,Maximum User I/O Count†,492
I/O Specifications,I/O Standards Support,"3.0 V LVTTL, 1.2 V to 3.0 V LVCMOS, SSTL, POD, HSTL, HSUL, Differential SSTL, Differential POD, Differential HSTL, Differential HSUL, LVDS, Mini-LVDS, RSDS, LVPECL"
I/O Specifications,Maximum LVDS Pairs,222
I/O Specifications,Maximum Non-Return to Zero (NRZ) Transceivers†,36
I/O Specifications,Maximum Non-Return to Zero (NRZ) Data Rate†,17.4 Gbps
I/O Specifications,Transceiver Protocol Hard IP,PCIe Gen3
Advanced Technologies,FPGA Bitstream Security,Yes
Package Specifications,Package Options,"F780, F1152"
Supplemental Information,Additional Information,Product Table (Family Comparison)DatasheetAll FPGA Documentation
