Section,Key,Value
Ordering and Spec Information,,
Intel® B860 Platform Controller Hub,Ordering Code,FH82B860
Intel® B860 Platform Controller Hub,Spec Code,SRPEW
Intel® B860 Platform Controller Hub,Shipping Media,T&R
Intel® B860 Platform Controller Hub,Stepping,B0
Intel® B860 Platform Controller Hub,MDDS Content IDs,"849236,854558"
Intel® B860 Platform Controller Hub,Recommended Customer Price,$31.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,740.17B1
Trade Compliance Information,US HTS,8542310030
