Section,Key,Value
Retired and discontinued,,
Intel® C102 Scalable Memory Buffer,Ordering Code,DH82C102
Intel® C102 Scalable Memory Buffer,Spec Code,SLK4Q
Intel® C102 Scalable Memory Buffer,Shipping Media,TRAY
Intel® C102 Scalable Memory Buffer,Stepping,C1
Intel® C102 Scalable Memory Buffer,MDDS Content IDs,"706312,706839"
Intel® C102 Scalable Memory Buffer,PCN Content IDs,"795943,796892,803212,799624,805104,802395,809472,804340,813824,809238,813819"
Trade Compliance Information,ECCN,4A994
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542310030
