Section,Key,Value
Retired and discontinued,,
Intel® BD82C604 Platform Controller Hub,Ordering Code,BD82C604
Intel® BD82C604 Platform Controller Hub,Spec Code,SLJKJ
Intel® BD82C604 Platform Controller Hub,Shipping Media,T&R
Intel® BD82C604 Platform Controller Hub,Stepping,C1
Intel® BD82C604 Platform Controller Hub,MDDS Content IDs,707359
Intel® BD82C604 Platform Controller Hub,PCN Content IDs,"799204,795943,803212,797140,805237,799269,805647,800586,811799,801326,813824,803685,804340,804460"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G071701
Trade Compliance Information,US HTS,8542310030
