Section,Key,Value
Retired and discontinued,,
"Intel® Celeron® 6305 Processor (4M Cache, 1.80 GHz, with IPU) FC-BGA16F, Tray",Ordering Code,FH8069004531901
"Intel® Celeron® 6305 Processor (4M Cache, 1.80 GHz, with IPU) FC-BGA16F, Tray",Spec Code,SRK0B
"Intel® Celeron® 6305 Processor (4M Cache, 1.80 GHz, with IPU) FC-BGA16F, Tray",Shipping Media,TRAY
"Intel® Celeron® 6305 Processor (4M Cache, 1.80 GHz, with IPU) FC-BGA16F, Tray",Stepping,B1
"Intel® Celeron® 6305 Processor (4M Cache, 1.80 GHz, with IPU) FC-BGA16F, Tray",MDDS Content IDs,847699
"Intel® Celeron® 6305 Processor (4M Cache, 1.80 GHz, with IPU) FC-BGA16F, Tray",PCN Content IDs,"804736,798466"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G167599
Trade Compliance Information,US HTS,8542310050
