Section,Key,Value
Retired and discontinued,,
"Intel® Celeron® Processor 1020E (2M Cache, 2.20 GHz) FC-BGA12F, Tray",Ordering Code,AV8063801276200
"Intel® Celeron® Processor 1020E (2M Cache, 2.20 GHz) FC-BGA12F, Tray",Spec Code,SR0VR
"Intel® Celeron® Processor 1020E (2M Cache, 2.20 GHz) FC-BGA12F, Tray",Shipping Media,TRAY
"Intel® Celeron® Processor 1020E (2M Cache, 2.20 GHz) FC-BGA12F, Tray",Stepping,P0
"Intel® Celeron® Processor 1020E (2M Cache, 2.20 GHz) FC-BGA12F, Tray",MDDS Content IDs,706665
"Intel® Celeron® Processor 1020E (2M Cache, 2.20 GHz) FC-BGA12F, Tray",PCN Content IDs,"795943,799686,799624,805104,802395,809472,803212,804340,806870,809238,813819,813820,813824"
"Intel® Celeron® Processor 1020E (2M Cache, 2.20 GHz) FC-PGA12F, Tray",Ordering Code,AW8063801117700
"Intel® Celeron® Processor 1020E (2M Cache, 2.20 GHz) FC-PGA12F, Tray",Spec Code,SR10D
"Intel® Celeron® Processor 1020E (2M Cache, 2.20 GHz) FC-PGA12F, Tray",Shipping Media,TRAY
"Intel® Celeron® Processor 1020E (2M Cache, 2.20 GHz) FC-PGA12F, Tray",Stepping,P0
"Intel® Celeron® Processor 1020E (2M Cache, 2.20 GHz) FC-PGA12F, Tray",MDDS Content IDs,707259
"Intel® Celeron® Processor 1020E (2M Cache, 2.20 GHz) FC-PGA12F, Tray",PCN Content IDs,"799624,796220,809238,799685,813819,799686,805104,813824"
Trade Compliance Information,ECCN,3A991
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542310050
