Section,Key,Value
Retired and discontinued,,
"Intel® Celeron® Processor 2970M (2M Cache, 2.20 GHz) FC-PGA12F, Tray",Ordering Code,CW8064701487001
"Intel® Celeron® Processor 2970M (2M Cache, 2.20 GHz) FC-PGA12F, Tray",Spec Code,SR1LF
"Intel® Celeron® Processor 2970M (2M Cache, 2.20 GHz) FC-PGA12F, Tray",Shipping Media,TRAY
"Intel® Celeron® Processor 2970M (2M Cache, 2.20 GHz) FC-PGA12F, Tray",Stepping,C0
"Intel® Celeron® Processor 2970M (2M Cache, 2.20 GHz) FC-PGA12F, Tray",MDDS Content IDs,706315
"Intel® Celeron® Processor 2970M (2M Cache, 2.20 GHz) FC-PGA12F, Tray",PCN Content IDs,"799685,799686,802395,802144,808591,805104,809238,813819"
Trade Compliance Information,ECCN,3A991
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542310050
