Section,Key,Value
Ordering and Spec Information,,
"Intel® Celeron® Processor 5305U (2M Cache, 2.3 GHz) FC-BGA14F, Tray",Ordering Code,FJ8070104307903
"Intel® Celeron® Processor 5305U (2M Cache, 2.3 GHz) FC-BGA14F, Tray",Spec Code,SRGL4
"Intel® Celeron® Processor 5305U (2M Cache, 2.3 GHz) FC-BGA14F, Tray",Shipping Media,TRAY
"Intel® Celeron® Processor 5305U (2M Cache, 2.3 GHz) FC-BGA14F, Tray",Stepping,V0
"Intel® Celeron® Processor 5305U (2M Cache, 2.3 GHz) FC-BGA14F, Tray",MDDS Content IDs,708876
"Intel® Celeron® Processor 5305U (2M Cache, 2.3 GHz) FC-BGA14F, Tray",PCN Content IDs,802271
"Intel® Celeron® Processor 5305U (2M Cache, 2.3 GHz) FC-BGA14F, Tray",Recommended Customer Price,$128.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G158870
Trade Compliance Information,US HTS,8542310050
