Section,Key,Value
Ordering and Spec Information,,
"Intel® Celeron® Processor 7305L (8M Cache, 1.10 GHz) FC-LGA16C, Tray",Ordering Code,CM8071505163800
"Intel® Celeron® Processor 7305L (8M Cache, 1.10 GHz) FC-LGA16C, Tray",Spec Code,SRMC6
"Intel® Celeron® Processor 7305L (8M Cache, 1.10 GHz) FC-LGA16C, Tray",Shipping Media,TRAY
"Intel® Celeron® Processor 7305L (8M Cache, 1.10 GHz) FC-LGA16C, Tray",Stepping,R0
"Intel® Celeron® Processor 7305L (8M Cache, 1.10 GHz) FC-LGA16C, Tray",MDDS Content IDs,771799
"Intel® Celeron® Processor 7305L (8M Cache, 1.10 GHz) FC-LGA16C, Tray",Recommended Customer Price,$107.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G167599
Trade Compliance Information,US HTS,8542310050
