Product ID,Product Name,Launch Date,Total Cores,Max Turbo Frequency,Processor Base Frequency,Cache,TDP
96163,Intel® Celeron® Processor G6900,Q1'22,2,,,4 MB Intel® Smart Cache,
96170,Intel® Celeron® Processor G6900E,Q1'22,2,,,4 MB Intel® Smart Cache,
96164,Intel® Celeron® Processor G6900T,Q1'22,2,,,4 MB Intel® Smart Cache,
96169,Intel® Celeron® Processor G6900TE,Q1'22,2,,,4 MB Intel® Smart Cache,
201899,Intel® Celeron® Processor G5905,Q3'20,2,,3.50 GHz,4 MB Intel® Smart Cache,58 W
201886,Intel® Celeron® Processor G5905T,Q3'20,2,,3.30 GHz,4 MB Intel® Smart Cache,35 W
201887,Intel® Celeron® Processor G5925,Q3'20,2,,3.60 GHz,4 MB Intel® Smart Cache,58 W
199268,Intel® Celeron® Processor G5900,Q2'20,2,,3.40 GHz,2 MB Intel® Smart Cache,58 W
203897,Intel® Celeron® Processor G5900E,Q2'20,2,,3.20 GHz,2 MB Intel® Smart Cache,58 W
199270,Intel® Celeron® Processor G5900T,Q2'20,2,,3.20 GHz,2 MB Intel® Smart Cache,35 W
203890,Intel® Celeron® Processor G5900TE,Q2'20,2,,3.00 GHz,2 MB Intel® Smart Cache,35 W
199290,Intel® Celeron® Processor G5920,Q2'20,2,,3.50 GHz,2 MB Intel® Smart Cache,58 W
195332,Intel® Celeron® Processor G4930E,Q2'19,2,2.40 GHz,2.40 GHz,2 MB,35 W
195330,Intel® Celeron® Processor G4932E,Q2'19,2,1.90 GHz,1.90 GHz,2 MB,25 W
134878,Intel® Celeron® Processor G4930,Q2'19,2,,3.20 GHz,2 MB Intel® Smart Cache,54 W
134868,Intel® Celeron® Processor G4930T,Q2'19,2,,3.00 GHz,2 MB Intel® Smart Cache,35 W
134879,Intel® Celeron® Processor G4950,Q2'19,2,,3.30 GHz,2 MB Intel® Smart Cache,54 W
129487,Intel® Celeron® G4900 Processor,Q2'18,2,,3.10 GHz,2 MB Intel® Smart Cache,54 W
129952,Intel® Celeron® G4900T Processor,Q2'18,2,,2.90 GHz,2 MB Intel® Smart Cache,35 W
129950,Intel® Celeron® G4920 Processor,Q2'18,2,,3.20 GHz,2 MB Intel® Smart Cache,54 W
122824,Intel® Celeron® Processor G3930E,Q2'17,2,,2.90 GHz,2 MB,54 W
122825,Intel® Celeron® Processor G3930TE,Q2'17,2,,2.70 GHz,2 MB,35 W
97452,Intel® Celeron® Processor G3930,Q1'17,2,,2.90 GHz,2 MB,51 W
97467,Intel® Celeron® Processor G3930T,Q1'17,2,,2.70 GHz,2 MB,35 W
97451,Intel® Celeron® Processor G3950,Q1'17,2,,3.00 GHz,2 MB,51 W
90713,Intel® Celeron® Processor G3900E,Q1'16,2,,2.40 GHz,2 MB Intel® Smart Cache,35 W
90619,Intel® Celeron® Processor G3902E,Q1'16,2,,1.60 GHz,2 MB Intel® Smart Cache,25 W
90741,Intel® Celeron® Processor G3900,Q4'15,2,,2.80 GHz,2 MB Intel® Smart Cache,51 W
90738,Intel® Celeron® Processor G3900T,Q4'15,2,,2.60 GHz,2 MB Intel® Smart Cache,35 W
90711,Intel® Celeron® Processor G3900TE,Q4'15,2,,2.30 GHz,2 MB Intel® Smart Cache,35 W
90737,Intel® Celeron® Processor G3920,Q4'15,2,,2.90 GHz,2 MB Intel® Smart Cache,51 W
80800,Intel® Celeron® Processor G1840,Q2'14,2,,2.80 GHz,2 MB,53 W
80801,Intel® Celeron® Processor G1840T,Q2'14,2,,2.50 GHz,2 MB,35 W
80798,Intel® Celeron® Processor G1850,Q2'14,2,,2.90 GHz,2 MB,53 W
78957,Intel® Celeron® Processor G1820TE,Q1'14,2,,2.20 GHz,2 MB Intel® Smart Cache,35 W
78955,Intel® Celeron® Processor G1820,Q1'14,2,,2.70 GHz,2 MB Intel® Smart Cache,53 W
78956,Intel® Celeron® Processor G1820T,Q1'14,2,,2.40 GHz,2 MB Intel® Smart Cache,35 W
78954,Intel® Celeron® Processor G1830,Q1'14,2,,2.80 GHz,2 MB Intel® Smart Cache,53 W
76345,Intel® Celeron® Processor G1620T,Q3'13,2,,2.40 GHz,2 MB Intel® Smart Cache,35 W
76344,Intel® Celeron® Processor G1630,Q3'13,2,,2.80 GHz,2 MB Intel® Smart Cache,55 W
71072,Intel® Celeron® Processor G1610,Q1'13,2,,2.60 GHz,2 MB Intel® Smart Cache,55 W
71074,Intel® Celeron® Processor G1610T,Q1'13,2,,2.30 GHz,2 MB Intel® Smart Cache,35 W
71073,Intel® Celeron® Processor G1620,Q1'13,2,,2.70 GHz,2 MB Intel® Smart Cache,55 W
