Section,Key,Value
Retired and discontinued,,
"Intel® Celeron® Processor G1840T (2M Cache, 2.50 GHz) FC-LGA12C, Tray",Ordering Code,CM8064601482618
"Intel® Celeron® Processor G1840T (2M Cache, 2.50 GHz) FC-LGA12C, Tray",Spec Code,SR1KA
"Intel® Celeron® Processor G1840T (2M Cache, 2.50 GHz) FC-LGA12C, Tray",Shipping Media,TRAY
"Intel® Celeron® Processor G1840T (2M Cache, 2.50 GHz) FC-LGA12C, Tray",Stepping,C0
"Intel® Celeron® Processor G1840T (2M Cache, 2.50 GHz) FC-LGA12C, Tray",MDDS Content IDs,706950
"Intel® Celeron® Processor G1840T (2M Cache, 2.50 GHz) FC-LGA12C, Tray",PCN Content IDs,"799624,802395,799685,802525,799686,804057,807594,805449,813819"
"Intel® Celeron® Processor G1840T (2M Cache, 2.50 GHz) FC-LGA12C, Tray",Recommended Customer Price,$42.00
Trade Compliance Information,ECCN,3A991
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542310050
