Section,Key,Value
Retired and discontinued,,
"Intel® Celeron® Processor G3920 (2M Cache, 2.90 GHz) FC-LGA14C, Tray",Ordering Code,CM8066201928609
"Intel® Celeron® Processor G3920 (2M Cache, 2.90 GHz) FC-LGA14C, Tray",Spec Code,SR2HX
"Intel® Celeron® Processor G3920 (2M Cache, 2.90 GHz) FC-LGA14C, Tray",Shipping Media,TRAY
"Intel® Celeron® Processor G3920 (2M Cache, 2.90 GHz) FC-LGA14C, Tray",Stepping,S0
"Intel® Celeron® Processor G3920 (2M Cache, 2.90 GHz) FC-LGA14C, Tray",MDDS Content IDs,"798363,799624,799685,807725,811782"
"Intel® Celeron® Processor G3920 (2M Cache, 2.90 GHz) FC-LGA14C, Tray",PCN Content IDs,"798363,799624,799685"
"Boxed Intel® Celeron® Processor G3920 (2M Cache, 2.90 GHz) FC-LGA14C",Ordering Code,BX80662G3920
"Boxed Intel® Celeron® Processor G3920 (2M Cache, 2.90 GHz) FC-LGA14C",Spec Code,SR2HX
"Boxed Intel® Celeron® Processor G3920 (2M Cache, 2.90 GHz) FC-LGA14C",Shipping Media,BOX
"Boxed Intel® Celeron® Processor G3920 (2M Cache, 2.90 GHz) FC-LGA14C",Stepping,S0
"Boxed Intel® Celeron® Processor G3920 (2M Cache, 2.90 GHz) FC-LGA14C",MDDS Content IDs,708691
"Boxed Intel® Celeron® Processor G3920 (2M Cache, 2.90 GHz) FC-LGA14C",PCN Content IDs,"797809,797610,798816,798363,798513"
"Boxed Intel® Celeron® Processor G3920 (2M Cache, 2.90 GHz) FC-LGA14C, for China",Ordering Code,BXC80662G3920
"Boxed Intel® Celeron® Processor G3920 (2M Cache, 2.90 GHz) FC-LGA14C, for China",Spec Code,SR2HX
"Boxed Intel® Celeron® Processor G3920 (2M Cache, 2.90 GHz) FC-LGA14C, for China",Shipping Media,BOX
"Boxed Intel® Celeron® Processor G3920 (2M Cache, 2.90 GHz) FC-LGA14C, for China",Stepping,S0
"Boxed Intel® Celeron® Processor G3920 (2M Cache, 2.90 GHz) FC-LGA14C, for China",MDDS Content IDs,708691
"Boxed Intel® Celeron® Processor G3920 (2M Cache, 2.90 GHz) FC-LGA14C, for China",PCN Content IDs,"797610,797809,798363"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
