Section,Key,Value
Retired and discontinued,,
"Intel® Celeron® Processor G3930TE (2M Cache, 2.70 GHz) FC-LGA14C, Tray",Ordering Code,CM8067703318900
"Intel® Celeron® Processor G3930TE (2M Cache, 2.70 GHz) FC-LGA14C, Tray",Spec Code,SR38H
"Intel® Celeron® Processor G3930TE (2M Cache, 2.70 GHz) FC-LGA14C, Tray",Shipping Media,TRAY
"Intel® Celeron® Processor G3930TE (2M Cache, 2.70 GHz) FC-LGA14C, Tray",Stepping,B0
"Intel® Celeron® Processor G3930TE (2M Cache, 2.70 GHz) FC-LGA14C, Tray",MDDS Content IDs,706277
"Intel® Celeron® Processor G3930TE (2M Cache, 2.70 GHz) FC-LGA14C, Tray",PCN Content IDs,"813820,799624,846571,799685,813833"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
