Section,Key,Value
Retired and discontinued,,
"Intel® Celeron® Processor J1850 (2M Cache, 2.00 GHz) FC-BGA13F, Tray",Ordering Code,FH8065301455200
"Intel® Celeron® Processor J1850 (2M Cache, 2.00 GHz) FC-BGA13F, Tray",Spec Code,SR1LN
"Intel® Celeron® Processor J1850 (2M Cache, 2.00 GHz) FC-BGA13F, Tray",Shipping Media,TRAY
"Intel® Celeron® Processor J1850 (2M Cache, 2.00 GHz) FC-BGA13F, Tray",Stepping,B2
"Intel® Celeron® Processor J1850 (2M Cache, 2.00 GHz) FC-BGA13F, Tray",MDDS Content IDs,706255
"Intel® Celeron® Processor J1850 (2M Cache, 2.00 GHz) FC-BGA13F, Tray",PCN Content IDs,"802395,800583,805104,803212,806514,804340,809238"
Trade Compliance Information,ECCN,3A991
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542310050
