Section,Key,Value
Retired and discontinued,,
Intel® DH8926 Platform Controller Hub,Ordering Code,DH8926CL
Intel® DH8926 Platform Controller Hub,Spec Code,SLKCJ
Intel® DH8926 Platform Controller Hub,Shipping Media,TRAY
Intel® DH8926 Platform Controller Hub,Stepping,A0
Intel® DH8926 Platform Controller Hub,MDDS Content IDs,708010
Intel® DH8926 Platform Controller Hub,PCN Content IDs,"802395,795943,799624,803212,804340,805104,806919,809238,809472"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G184699
Trade Compliance Information,US HTS,8542310030
