Section,Key,Value
Retired and discontinued,,
"Intel® Core™ M-5Y31 Processor (4M Cache, up to 2.40 GHz) FC-BGA14F, Tray",Ordering Code,FH8065802061902
"Intel® Core™ M-5Y31 Processor (4M Cache, up to 2.40 GHz) FC-BGA14F, Tray",Spec Code,SR23G
"Intel® Core™ M-5Y31 Processor (4M Cache, up to 2.40 GHz) FC-BGA14F, Tray",Shipping Media,TRAY
"Intel® Core™ M-5Y31 Processor (4M Cache, up to 2.40 GHz) FC-BGA14F, Tray",Stepping,F0
"Intel® Core™ M-5Y31 Processor (4M Cache, up to 2.40 GHz) FC-BGA14F, Tray",MDDS Content IDs,709088
"Intel® Core™ M-5Y31 Processor (4M Cache, up to 2.40 GHz) FC-BGA14F, Tray",PCN Content IDs,"795943,805104,799685,802395,804340"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G071701++
Trade Compliance Information,US HTS,8542310050
