Section,Key,Value
Ordering and Spec Information,,
"Intel® Core™ Ultra 5 processor 135H (18M Cache, up to 4.60 GHz) FCBGA18X, Tray",Ordering Code,QQ807230556C
"Intel® Core™ Ultra 5 processor 135H (18M Cache, up to 4.60 GHz) FCBGA18X, Tray",Spec Code,SRMZ0
"Intel® Core™ Ultra 5 processor 135H (18M Cache, up to 4.60 GHz) FCBGA18X, Tray",Shipping Media,TRAY
"Intel® Core™ Ultra 5 processor 135H (18M Cache, up to 4.60 GHz) FCBGA18X, Tray",Stepping,C0
"Intel® Core™ Ultra 5 processor 135H (18M Cache, up to 4.60 GHz) FCBGA18X, Tray",MDDS Content IDs,"831403,854869"
"Intel® Core™ Ultra 5 processor 135H (18M Cache, up to 4.60 GHz) FCBGA18X, Tray",PCN Content IDs,826056
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,740.17B1
Trade Compliance Information,US HTS,8542310050
