Section,Key,Value
Ordering and Spec Information,,
"Intel® Core™ Ultra 5 processor 225F (20M Cache, up to 4.90 GHz) FCLGA18W, Tray",Ordering Code,AT8076806771
"Intel® Core™ Ultra 5 processor 225F (20M Cache, up to 4.90 GHz) FCLGA18W, Tray",Spec Code,SRVF9
"Intel® Core™ Ultra 5 processor 225F (20M Cache, up to 4.90 GHz) FCLGA18W, Tray",Shipping Media,TRAY
"Intel® Core™ Ultra 5 processor 225F (20M Cache, up to 4.90 GHz) FCLGA18W, Tray",Stepping,B0
"Intel® Core™ Ultra 5 processor 225F (20M Cache, up to 4.90 GHz) FCLGA18W, Tray",MDDS Content IDs,"831509,838629"
"Intel® Core™ Ultra 5 processor 225F (20M Cache, up to 4.90 GHz) FCLGA18W, Tray",PCN Content IDs,853077
"Intel® Core™ Ultra 5 processor 225F (20M Cache, up to 4.90 GHz) FCLGA18W, Tray",Recommended Customer Price,$221.00
"Boxed Intel® Core™ Ultra 5 processor 225F (20M Cache, up to 4.90 GHz) FCLGA18W",Ordering Code,BX80768225F
"Boxed Intel® Core™ Ultra 5 processor 225F (20M Cache, up to 4.90 GHz) FCLGA18W",Spec Code,SRVF9
"Boxed Intel® Core™ Ultra 5 processor 225F (20M Cache, up to 4.90 GHz) FCLGA18W",Shipping Media,BOX
"Boxed Intel® Core™ Ultra 5 processor 225F (20M Cache, up to 4.90 GHz) FCLGA18W",Stepping,A0
"Boxed Intel® Core™ Ultra 5 processor 225F (20M Cache, up to 4.90 GHz) FCLGA18W",MDDS Content IDs,842423
"Boxed Intel® Core™ Ultra 5 processor 225F (20M Cache, up to 4.90 GHz) FCLGA18W",PCN Content IDs,"853077,853587"
"Boxed Intel® Core™ Ultra 5 processor 225F (20M Cache, up to 4.90 GHz) FCLGA18W",Recommended Customer Price,$231.00
"Boxed Intel® Core™ Ultra 5 processor 225F (20M Cache, up to 4.90 GHz) FCLGA18W, for China",Ordering Code,BXC80768225F
"Boxed Intel® Core™ Ultra 5 processor 225F (20M Cache, up to 4.90 GHz) FCLGA18W, for China",Spec Code,SRVF9
"Boxed Intel® Core™ Ultra 5 processor 225F (20M Cache, up to 4.90 GHz) FCLGA18W, for China",Shipping Media,BOX
"Boxed Intel® Core™ Ultra 5 processor 225F (20M Cache, up to 4.90 GHz) FCLGA18W, for China",Stepping,A0
"Boxed Intel® Core™ Ultra 5 processor 225F (20M Cache, up to 4.90 GHz) FCLGA18W, for China",MDDS Content IDs,842423
"Boxed Intel® Core™ Ultra 5 processor 225F (20M Cache, up to 4.90 GHz) FCLGA18W, for China",PCN Content IDs,"853077,853587"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,740.17B1
Trade Compliance Information,US HTS,8542310050
