Section,Key,Value
Essentials,Product Collection,Intel® Core™ Ultra Processors (Series 2)
Essentials,Code Name,Products formerly Arrow Lake
Essentials,Vertical Segment,Mobile
Essentials,Processor Number,245HX
Essentials,Overall Peak TOPS (Int8),27
CPU Specifications,Total Cores,14
CPU Specifications,# of Performance-cores,6
CPU Specifications,# of Efficient-cores,8
CPU Specifications,Total Threads,14
CPU Specifications,Max Turbo Frequency,5.1 GHz
CPU Specifications,Performance-core Max Turbo Frequency,5.1 GHz
CPU Specifications,Efficient-core Max Turbo Frequency,4.5 GHz
CPU Specifications,Performance-core Base Frequency,3.1 GHz
CPU Specifications,Efficient-core Base Frequency,2.6 GHz
CPU Specifications,Cache,24 MB
CPU Specifications,Total L2 Cache,26 MB
CPU Specifications,Processor Base Power,55 W
CPU Specifications,Maximum Turbo Power,160 W
CPU Specifications,Minimum Assured Power,45 W
CPU Specifications,Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes
CPU Specifications,AI Software Frameworks Supported by CPU,"OpenVINO™, WindowsML, DirectML, ONNX RT, WebNN"
CPU Specifications,CPU Lithography,TSMC N3B
Supplemental Information,Marketing Status,Launched
Supplemental Information,Launch Date,Q1'25
Supplemental Information,Embedded Options Available,No
Supplemental Information,Datasheet,View now
Memory Specifications,Max Memory Size (dependent on memory type),256 GB
Memory Specifications,Memory Types,Up to DDR5 6400 MT/s
Memory Specifications,Max # of Memory Channels,2
Memory Specifications,ECC Memory Supported‡,Yes
GPU Specifications,GPU Name‡,Intel® Graphics
GPU Specifications,Graphics Base Frequency,300 MHz
GPU Specifications,Graphics Max Dynamic Frequency,1.9 GHz
GPU Specifications,GPU Peak TOPS (Int8),6
GPU Specifications,Graphics Output,"DP2.1 UHBR20, HDM2.1 FRL 12GHz, eDP1.4b"
GPU Specifications,Xe-cores,3
GPU Specifications,Ray Tracing,Yes
GPU Specifications,Max Resolution (HDMI)‡,4K @ 60Hz (HDMI 2.1 TMDS) 8K @ 60Hz (HDMI2.1 FRL)
GPU Specifications,Max Resolution (DP)‡,7680 x 4320 @ 60Hz
GPU Specifications,Max Resolution (eDP - Integrated Flat Panel)‡,3840x2400 @ 120Hz
GPU Specifications,DirectX* Support,12
GPU Specifications,OpenGL* Support,4.5
GPU Specifications,OpenCL* Support,3
GPU Specifications,H.264 Hardware Encode/Decode,Yes
GPU Specifications,H.265 (HEVC) Hardware Encode/Decode,Yes
GPU Specifications,AV1 Encode/Decode,Yes
GPU Specifications,VP9 Bitstream & Decoding,Yes
GPU Specifications,Intel® Quick Sync Video,Yes
GPU Specifications,# of Displays Supported‡,4
GPU Specifications,Device ID,0x7D67
GPU Specifications,Intel® Deep Learning Boost (Intel® DL Boost) on GPU,Yes
GPU Specifications,AI Software Frameworks Supported by GPU,"OpenVINO™, WindowsML, DirectML, ONNX RT, WebGPU"
NPU Specifications,NPU Name‡,Intel® AI Boost
NPU Specifications,NPU Peak TOPS (Int8),13
NPU Specifications,Sparsity Support,Yes
NPU Specifications,Windows Studio Effects Support,Yes
NPU Specifications,AI Software Frameworks Supported by NPU,"OpenVINO™, WindowsML, DirectML, ONNX RT, WebNN"
Expansion Options,Direct Media Interface (DMI) Revision,4
Expansion Options,Max # of DMI Lanes,8
Expansion Options,Intel® Thunderbolt™ 4,Yes
Expansion Options,Scalability,1S Only
Expansion Options,PCI Express Revision,5.0 and 4.0
Expansion Options,PCI Express Configurations‡,"Up to 1x16+2x4, 2x8+2x4,1x8+4x4"
Expansion Options,Max # of PCI Express Lanes,24
Package Specifications,Sockets Supported,FCBGA2114
Package Specifications,Max Operating Temperature,105 °C
Advanced Technologies,Intel® Gaussian & Neural Accelerator,3.5
Advanced Technologies,Intel® Thread Director,Yes
Advanced Technologies,Intel® Image Processing Unit,6.0
Advanced Technologies,Intel® Smart Sound Technology,Yes
Advanced Technologies,Intel® Wake on Voice,Yes
Advanced Technologies,Intel® High Definition Audio,Yes
Advanced Technologies,Intel® Adaptix™ Technology,Yes
Advanced Technologies,Intel® Speed Shift Technology,Yes
Advanced Technologies,Intel® Turbo Boost Max Technology 3.0‡,No
Advanced Technologies,Intel® Turbo Boost Technology‡,2.0
Advanced Technologies,Intel® 64‡,Yes
