Section,Key,Value
Ordering and Spec Information,,
"Intel® Core™ Ultra 5 processor 245KF (24M Cache, up to 5.20 GHz) FCLGA18W, Tray",Ordering Code,AT8076806414
"Intel® Core™ Ultra 5 processor 245KF (24M Cache, up to 5.20 GHz) FCLGA18W, Tray",Spec Code,SRQCY
"Intel® Core™ Ultra 5 processor 245KF (24M Cache, up to 5.20 GHz) FCLGA18W, Tray",Shipping Media,TRAY
"Intel® Core™ Ultra 5 processor 245KF (24M Cache, up to 5.20 GHz) FCLGA18W, Tray",Stepping,B0
"Intel® Core™ Ultra 5 processor 245KF (24M Cache, up to 5.20 GHz) FCLGA18W, Tray",MDDS Content IDs,831509
"Intel® Core™ Ultra 5 processor 245KF (24M Cache, up to 5.20 GHz) FCLGA18W, Tray",Recommended Customer Price,$294.00
"Boxed Intel® Core™ Ultra 5 processor 245KF (24M Cache, up to 5.20 GHz) FCLGA18W",Ordering Code,BX80768245KF
"Boxed Intel® Core™ Ultra 5 processor 245KF (24M Cache, up to 5.20 GHz) FCLGA18W",Spec Code,SRQCY
"Boxed Intel® Core™ Ultra 5 processor 245KF (24M Cache, up to 5.20 GHz) FCLGA18W",Shipping Media,BOX
"Boxed Intel® Core™ Ultra 5 processor 245KF (24M Cache, up to 5.20 GHz) FCLGA18W",Stepping,B0
"Boxed Intel® Core™ Ultra 5 processor 245KF (24M Cache, up to 5.20 GHz) FCLGA18W",PCN Content IDs,853587
"Boxed Intel® Core™ Ultra 5 processor 245KF (24M Cache, up to 5.20 GHz) FCLGA18W",Recommended Customer Price,$304.00
"Boxed Intel® Core™ Ultra 5 processor 245KF (24M Cache, up to 5.20 GHz) FCLGA18W, for China",Ordering Code,BXC80768245KF
"Boxed Intel® Core™ Ultra 5 processor 245KF (24M Cache, up to 5.20 GHz) FCLGA18W, for China",Spec Code,SRQCY
"Boxed Intel® Core™ Ultra 5 processor 245KF (24M Cache, up to 5.20 GHz) FCLGA18W, for China",Shipping Media,BOX
"Boxed Intel® Core™ Ultra 5 processor 245KF (24M Cache, up to 5.20 GHz) FCLGA18W, for China",Stepping,B0
"Boxed Intel® Core™ Ultra 5 processor 245KF (24M Cache, up to 5.20 GHz) FCLGA18W, for China",PCN Content IDs,853587
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,740.17B1
Trade Compliance Information,US HTS,8542310050
