Section,Key,Value
Ordering and Spec Information,,
"Intel® Core™ i3-10100TE Processor (6M Cache, up to 3.60 GHz) FC-LGA14C, Tray",Ordering Code,CM8070104423707
"Intel® Core™ i3-10100TE Processor (6M Cache, up to 3.60 GHz) FC-LGA14C, Tray",Spec Code,SRH6F
"Intel® Core™ i3-10100TE Processor (6M Cache, up to 3.60 GHz) FC-LGA14C, Tray",Shipping Media,TRAY
"Intel® Core™ i3-10100TE Processor (6M Cache, up to 3.60 GHz) FC-LGA14C, Tray",Stepping,G1
"Intel® Core™ i3-10100TE Processor (6M Cache, up to 3.60 GHz) FC-LGA14C, Tray",MDDS Content IDs,"707542,708689"
"Intel® Core™ i3-10100TE Processor (6M Cache, up to 3.60 GHz) FC-LGA14C, Tray",PCN Content IDs,"798170,826061"
"Intel® Core™ i3-10100TE Processor (6M Cache, up to 3.60 GHz) FC-LGA14C, Tray",Recommended Customer Price,$138.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
