Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i3-10105T Processor (6M Cache, up to 3.90 GHz) FC-LGA14C, Tray",Ordering Code,CM8070104291414
"Intel® Core™ i3-10105T Processor (6M Cache, up to 3.90 GHz) FC-LGA14C, Tray",Spec Code,SRH3R
"Intel® Core™ i3-10105T Processor (6M Cache, up to 3.90 GHz) FC-LGA14C, Tray",Shipping Media,TRAY
"Intel® Core™ i3-10105T Processor (6M Cache, up to 3.90 GHz) FC-LGA14C, Tray",Stepping,G1
"Intel® Core™ i3-10105T Processor (6M Cache, up to 3.90 GHz) FC-LGA14C, Tray",MDDS Content IDs,708511
"Intel® Core™ i3-10105T Processor (6M Cache, up to 3.90 GHz) FC-LGA14C, Tray",PCN Content IDs,826013
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
