Section,Key,Value
Ordering and Spec Information,,
"Intel® Core™ i3-11100HE Processor (8M Cache, up to 4.40 GHz) FC-BGA16F, Tray",Ordering Code,FH8069004638051
"Intel® Core™ i3-11100HE Processor (8M Cache, up to 4.40 GHz) FC-BGA16F, Tray",Spec Code,SRKX2
"Intel® Core™ i3-11100HE Processor (8M Cache, up to 4.40 GHz) FC-BGA16F, Tray",Shipping Media,TRAY
"Intel® Core™ i3-11100HE Processor (8M Cache, up to 4.40 GHz) FC-BGA16F, Tray",Stepping,R0
"Intel® Core™ i3-11100HE Processor (8M Cache, up to 4.40 GHz) FC-BGA16F, Tray",MDDS Content IDs,724754
"Intel® Core™ i3-11100HE Processor (8M Cache, up to 4.40 GHz) FC-BGA16F, Tray",PCN Content IDs,798652
"Intel® Core™ i3-11100HE Processor (8M Cache, up to 4.40 GHz) FC-BGA16F, Tray",Recommended Customer Price,$233.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G167599
Trade Compliance Information,US HTS,8542310050
