Section,Key,Value
Ordering and Spec Information,,
"Intel® Core™ i3-1115GRE Processor (6M Cache, up to 3.90 GHz) FC-BGA16F TRAY",Ordering Code,FH8069004542400
"Intel® Core™ i3-1115GRE Processor (6M Cache, up to 3.90 GHz) FC-BGA16F TRAY",Spec Code,SRK13
"Intel® Core™ i3-1115GRE Processor (6M Cache, up to 3.90 GHz) FC-BGA16F TRAY",Shipping Media,TRAY
"Intel® Core™ i3-1115GRE Processor (6M Cache, up to 3.90 GHz) FC-BGA16F TRAY",Stepping,B1
"Intel® Core™ i3-1115GRE Processor (6M Cache, up to 3.90 GHz) FC-BGA16F TRAY",MDDS Content IDs,706901
"Intel® Core™ i3-1115GRE Processor (6M Cache, up to 3.90 GHz) FC-BGA16F TRAY",PCN Content IDs,"798466,803715"
"Intel® Core™ i3-1115GRE Processor (6M Cache, up to 3.90 GHz) FC-BGA16F TRAY",Recommended Customer Price,$338.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G167599
Trade Compliance Information,US HTS,8542310050
