Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i3-1125G4 Processor (8M Cache, up to 3.70 GHz, with IPU) FC-BGA16F, Tray",Ordering Code,FH8069004531506
"Intel® Core™ i3-1125G4 Processor (8M Cache, up to 3.70 GHz, with IPU) FC-BGA16F, Tray",Spec Code,SRK8R
"Intel® Core™ i3-1125G4 Processor (8M Cache, up to 3.70 GHz, with IPU) FC-BGA16F, Tray",Shipping Media,TRAY
"Intel® Core™ i3-1125G4 Processor (8M Cache, up to 3.70 GHz, with IPU) FC-BGA16F, Tray",Stepping,B1
"Intel® Core™ i3-1125G4 Processor (8M Cache, up to 3.70 GHz, with IPU) FC-BGA16F, Tray",MDDS Content IDs,847699
"Intel® Core™ i3-1125G4 Processor (8M Cache, up to 3.70 GHz, with IPU) FC-BGA16F, Tray",PCN Content IDs,"798466,804736"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G167599
Trade Compliance Information,US HTS,8542310050
