Section,Key,Value
Ordering and Spec Information,,
"Boxed Intel® Core™ i3-7100 Processor (3M Cache, 3.90 GHz) FC-LGA14C, for China",Ordering Code,BXC80677I37100
"Boxed Intel® Core™ i3-7100 Processor (3M Cache, 3.90 GHz) FC-LGA14C, for China",Spec Code,SR35C
"Boxed Intel® Core™ i3-7100 Processor (3M Cache, 3.90 GHz) FC-LGA14C, for China",Shipping Media,BOX
"Boxed Intel® Core™ i3-7100 Processor (3M Cache, 3.90 GHz) FC-LGA14C, for China",Stepping,S0
"Boxed Intel® Core™ i3-7100 Processor (3M Cache, 3.90 GHz) FC-LGA14C, for China",MDDS Content IDs,707484
"Boxed Intel® Core™ i3-7100 Processor (3M Cache, 3.90 GHz) FC-LGA14C, for China",PCN Content IDs,"797610,805639,798363"
Retired and discontinued,,
"Intel® Core™ i3-7100 Processor (3M Cache, 3.90 GHz) FC-LGA14C, Tray",Ordering Code,CM8067703014612
"Intel® Core™ i3-7100 Processor (3M Cache, 3.90 GHz) FC-LGA14C, Tray",Spec Code,SR35C
"Intel® Core™ i3-7100 Processor (3M Cache, 3.90 GHz) FC-LGA14C, Tray",Shipping Media,TRAY
"Intel® Core™ i3-7100 Processor (3M Cache, 3.90 GHz) FC-LGA14C, Tray",Stepping,S0
"Intel® Core™ i3-7100 Processor (3M Cache, 3.90 GHz) FC-LGA14C, Tray",MDDS Content IDs,708994
"Intel® Core™ i3-7100 Processor (3M Cache, 3.90 GHz) FC-LGA14C, Tray",PCN Content IDs,"809472,798363,813820,799624,799685,805639,813833"
"Intel® Core™ i3-7100 Processor (3M Cache, 3.90 GHz) FC-LGA14C, Tray",Recommended Customer Price,$117.00
"Boxed Intel® Core™ i3-7100 Processor (3M Cache, 3.90 GHz) FC-LGA14C",Ordering Code,BX80677I37100
"Boxed Intel® Core™ i3-7100 Processor (3M Cache, 3.90 GHz) FC-LGA14C",Spec Code,SR35C
"Boxed Intel® Core™ i3-7100 Processor (3M Cache, 3.90 GHz) FC-LGA14C",Shipping Media,BOX
"Boxed Intel® Core™ i3-7100 Processor (3M Cache, 3.90 GHz) FC-LGA14C",Stepping,S0
"Boxed Intel® Core™ i3-7100 Processor (3M Cache, 3.90 GHz) FC-LGA14C",MDDS Content IDs,707484
"Boxed Intel® Core™ i3-7100 Processor (3M Cache, 3.90 GHz) FC-LGA14C",PCN Content IDs,"797610,798363,798513,798816,805639"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
