Section,Key,Value
Ordering and Spec Information,,
"Intel® Core™ i3-9100F Processor (6M Cache, up to 4.20 GHz) FC-LGA14C, Tray",Ordering Code,CM8068403358820
"Intel® Core™ i3-9100F Processor (6M Cache, up to 4.20 GHz) FC-LGA14C, Tray",Spec Code,SRF6N
"Intel® Core™ i3-9100F Processor (6M Cache, up to 4.20 GHz) FC-LGA14C, Tray",Shipping Media,TRAY
"Intel® Core™ i3-9100F Processor (6M Cache, up to 4.20 GHz) FC-LGA14C, Tray",Stepping,U0
"Intel® Core™ i3-9100F Processor (6M Cache, up to 4.20 GHz) FC-LGA14C, Tray",MDDS Content IDs,708214
"Intel® Core™ i3-9100F Processor (6M Cache, up to 4.20 GHz) FC-LGA14C, Tray",PCN Content IDs,"799495,809472,813820"
Retired and discontinued,,
"Boxed Intel® Core™ i3-9100F Processor (6M Cache, up to 4.20 GHz) FC-LGA14C",Ordering Code,BX80684I39100F
"Boxed Intel® Core™ i3-9100F Processor (6M Cache, up to 4.20 GHz) FC-LGA14C",Spec Code,SRF7W
"Boxed Intel® Core™ i3-9100F Processor (6M Cache, up to 4.20 GHz) FC-LGA14C",Shipping Media,BOX
"Boxed Intel® Core™ i3-9100F Processor (6M Cache, up to 4.20 GHz) FC-LGA14C",Stepping,B0
"Boxed Intel® Core™ i3-9100F Processor (6M Cache, up to 4.20 GHz) FC-LGA14C",MDDS Content IDs,706498
"Boxed Intel® Core™ i3-9100F Processor (6M Cache, up to 4.20 GHz) FC-LGA14C",PCN Content IDs,"798513,799495,804577"
"Boxed Intel® Core™ i3-9100F Processor (6M Cache, up to 4.20 GHz) FC-LGA14C, for China",Ordering Code,BXC80684I39100F
"Boxed Intel® Core™ i3-9100F Processor (6M Cache, up to 4.20 GHz) FC-LGA14C, for China",Spec Code,SRF7W
"Boxed Intel® Core™ i3-9100F Processor (6M Cache, up to 4.20 GHz) FC-LGA14C, for China",Shipping Media,BOX
"Boxed Intel® Core™ i3-9100F Processor (6M Cache, up to 4.20 GHz) FC-LGA14C, for China",Stepping,B0
"Boxed Intel® Core™ i3-9100F Processor (6M Cache, up to 4.20 GHz) FC-LGA14C, for China",MDDS Content IDs,706498
"Boxed Intel® Core™ i3-9100F Processor (6M Cache, up to 4.20 GHz) FC-LGA14C, for China",PCN Content IDs,"799495,804577"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
