Product ID,Product Name,Launch Date,Total Cores,Max Turbo Frequency,Cache,GPU Name‡
238777,Intel® Core™ i5 processor 14401E,Q3'24,6,4.7 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics 730
238779,Intel® Core™ i5 processor 14401TE,Q3'24,6,4.5 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics 730
239180,Intel® Core™ i5 processor 14501E,Q3'24,6,5.2 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics 770
239179,Intel® Core™ i5 processor 14501TE,Q3'24,6,5.1 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics 770
236788,Intel® Core™ i5 processor 14400,Q1'24,10,4.7 GHz,20 MB Intel® Smart Cache,Intel® UHD Graphics 730
236777,Intel® Core™ i5 processor 14400F,Q1'24,10,4.7 GHz,20 MB Intel® Smart Cache,
236790,Intel® Core™ i5 processor 14400T,Q1'24,10,4.5 GHz,20 MB Intel® Smart Cache,Intel® UHD Graphics 730
235998,Intel® Core™ i5 processor 14450HX,Q1'24,10,4.8 GHz,20 MB Intel® Smart Cache,Intel® UHD Graphics for 14th Gen Intel® Processors
236784,Intel® Core™ i5 processor 14500,Q1'24,14,5 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics 770
235999,Intel® Core™ i5 processor 14500HX,Q1'24,14,4.9 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics for 14th Gen Intel® Processors
236780,Intel® Core™ i5 processor 14500T,Q1'24,14,4.8 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics 770
236845,Intel® Core™ i5 processor 14600,Q1'24,14,5.2 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics 770
236782,Intel® Core™ i5 processor 14600T,Q1'24,14,5.1 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics 770
236799,Intel® Core™ i5 processor 14600K,Q4'23,14,5.3 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics 770
236778,Intel® Core™ i5 processor 14600KF,Q4'23,14,5.3 GHz,24 MB Intel® Smart Cache,
