Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i5-4460S Processor (6M Cache, up to 3.40 GHz) FC-LGA12C, Tray",Ordering Code,CM8064601561423
"Intel® Core™ i5-4460S Processor (6M Cache, up to 3.40 GHz) FC-LGA12C, Tray",Spec Code,SR1QQ
"Intel® Core™ i5-4460S Processor (6M Cache, up to 3.40 GHz) FC-LGA12C, Tray",Shipping Media,TRAY
"Intel® Core™ i5-4460S Processor (6M Cache, up to 3.40 GHz) FC-LGA12C, Tray",Stepping,C0
"Intel® Core™ i5-4460S Processor (6M Cache, up to 3.40 GHz) FC-LGA12C, Tray",MDDS Content IDs,706998
"Intel® Core™ i5-4460S Processor (6M Cache, up to 3.40 GHz) FC-LGA12C, Tray",PCN Content IDs,"799624,799685,803363,799686,813819,802395,802525,804057,807563,807594"
"Boxed Intel® Core™ i5-4460S Processor (6M Cache, up to 3.40 GHz) FC-LGA12C, for China",Ordering Code,BXC80646I54460S
"Boxed Intel® Core™ i5-4460S Processor (6M Cache, up to 3.40 GHz) FC-LGA12C, for China",Spec Code,SR1QQ
"Boxed Intel® Core™ i5-4460S Processor (6M Cache, up to 3.40 GHz) FC-LGA12C, for China",Shipping Media,BOX
"Boxed Intel® Core™ i5-4460S Processor (6M Cache, up to 3.40 GHz) FC-LGA12C, for China",Stepping,C0
"Boxed Intel® Core™ i5-4460S Processor (6M Cache, up to 3.40 GHz) FC-LGA12C, for China",MDDS Content IDs,"797809,802804,806717,807563,809439"
"Boxed Intel® Core™ i5-4460S Processor (6M Cache, up to 3.40 GHz) FC-LGA12C, for China",PCN Content IDs,"802804,797809,807563,806717,809439"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
