Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i5-5675C Processor (4M Cache, up to 3.60 GHz) FC-LGA14C, Tray",Ordering Code,CM8065802483201
"Intel® Core™ i5-5675C Processor (4M Cache, up to 3.60 GHz) FC-LGA14C, Tray",Spec Code,SR2FX
"Intel® Core™ i5-5675C Processor (4M Cache, up to 3.60 GHz) FC-LGA14C, Tray",Shipping Media,TRAY
"Intel® Core™ i5-5675C Processor (4M Cache, up to 3.60 GHz) FC-LGA14C, Tray",Stepping,G0
"Intel® Core™ i5-5675C Processor (4M Cache, up to 3.60 GHz) FC-LGA14C, Tray",MDDS Content IDs,708863
"Intel® Core™ i5-5675C Processor (4M Cache, up to 3.60 GHz) FC-LGA14C, Tray",PCN Content IDs,"799624,802525,799685,807900"
"Boxed Intel® Core™ i5-5675C Processor (4M Cache, up to 3.60 GHz) FC-LGA14C",Ordering Code,BX80658I55675C
"Boxed Intel® Core™ i5-5675C Processor (4M Cache, up to 3.60 GHz) FC-LGA14C",Spec Code,SR2FX
"Boxed Intel® Core™ i5-5675C Processor (4M Cache, up to 3.60 GHz) FC-LGA14C",Shipping Media,BOX
"Boxed Intel® Core™ i5-5675C Processor (4M Cache, up to 3.60 GHz) FC-LGA14C",Stepping,G0
"Boxed Intel® Core™ i5-5675C Processor (4M Cache, up to 3.60 GHz) FC-LGA14C",MDDS Content IDs,706680
"Boxed Intel® Core™ i5-5675C Processor (4M Cache, up to 3.60 GHz) FC-LGA14C",PCN Content IDs,"797809,797610,798816,807900,809439"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
