Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i5-6300HQ Processor (6M Cache, up to 3.20 GHz) FC-BGA14F, Tray",Ordering Code,JQ8066202195132
"Intel® Core™ i5-6300HQ Processor (6M Cache, up to 3.20 GHz) FC-BGA14F, Tray",Spec Code,SR2SK
"Intel® Core™ i5-6300HQ Processor (6M Cache, up to 3.20 GHz) FC-BGA14F, Tray",Shipping Media,TRAY
"Intel® Core™ i5-6300HQ Processor (6M Cache, up to 3.20 GHz) FC-BGA14F, Tray",Stepping,N0
"Intel® Core™ i5-6300HQ Processor (6M Cache, up to 3.20 GHz) FC-BGA14F, Tray",MDDS Content IDs,"706247,706985"
"Intel® Core™ i5-6300HQ Processor (6M Cache, up to 3.20 GHz) FC-BGA14F, Tray",PCN Content IDs,"795943,799624,799685,803586,805104"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
