Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i5-8500B Processor (9M Cache, up to 4.10 GHz) FC-BGA14F, Tray",Ordering Code,CL8068403612509
"Intel® Core™ i5-8500B Processor (9M Cache, up to 4.10 GHz) FC-BGA14F, Tray",Spec Code,SRCX3
"Intel® Core™ i5-8500B Processor (9M Cache, up to 4.10 GHz) FC-BGA14F, Tray",Shipping Media,TRAY
"Intel® Core™ i5-8500B Processor (9M Cache, up to 4.10 GHz) FC-BGA14F, Tray",Stepping,U0
"Intel® Core™ i5-8500B Processor (9M Cache, up to 4.10 GHz) FC-BGA14F, Tray",MDDS Content IDs,708033
"Intel® Core™ i5-8500B Processor (9M Cache, up to 4.10 GHz) FC-BGA14F, Tray",PCN Content IDs,"795943,799685,805737,809472"
"Intel® Core™ i5-8500B Processor (9M Cache, up to 4.10 GHz) FC-BGA14F, Tray",Recommended Customer Price,$192.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
