Section,Key,Value
Ordering and Spec Information,,
"Intel® Core™ i7-11700KF Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, Tray",Ordering Code,CM8070804488630
"Intel® Core™ i7-11700KF Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, Tray",Spec Code,SRKNN
"Intel® Core™ i7-11700KF Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, Tray",Shipping Media,TRAY
"Intel® Core™ i7-11700KF Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, Tray",Stepping,B0
"Intel® Core™ i7-11700KF Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, Tray",MDDS Content IDs,707805
"Intel® Core™ i7-11700KF Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, Tray",PCN Content IDs,"798714,805416"
"Intel® Core™ i7-11700KF Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, Tray",Recommended Customer Price,$411.00
Retired and discontinued,,
"Boxed Intel® Core™ i7-11700KF Processor (16M Cache, up to 5.00 GHz) FC-LGA14A",Ordering Code,BX8070811700KF
"Boxed Intel® Core™ i7-11700KF Processor (16M Cache, up to 5.00 GHz) FC-LGA14A",Spec Code,SRKNN
"Boxed Intel® Core™ i7-11700KF Processor (16M Cache, up to 5.00 GHz) FC-LGA14A",Shipping Media,BOX
"Boxed Intel® Core™ i7-11700KF Processor (16M Cache, up to 5.00 GHz) FC-LGA14A",Stepping,B0
"Boxed Intel® Core™ i7-11700KF Processor (16M Cache, up to 5.00 GHz) FC-LGA14A",MDDS Content IDs,708671
"Boxed Intel® Core™ i7-11700KF Processor (16M Cache, up to 5.00 GHz) FC-LGA14A",PCN Content IDs,"798714,798811,804577,805416,815134"
"Boxed Intel® Core™ i7-11700KF Processor (16M Cache, up to 5.00 GHz) FC-LGA14A",Recommended Customer Price,$421.00
"Boxed Intel® Core™ i7-11700KF Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, for China",Ordering Code,BXC8070811700KF
"Boxed Intel® Core™ i7-11700KF Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, for China",Spec Code,SRKNN
"Boxed Intel® Core™ i7-11700KF Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, for China",Shipping Media,BOX
"Boxed Intel® Core™ i7-11700KF Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, for China",Stepping,B0
"Boxed Intel® Core™ i7-11700KF Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, for China",MDDS Content IDs,708671
"Boxed Intel® Core™ i7-11700KF Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, for China",PCN Content IDs,"798714,804577,798811,805416,815134"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G167599
Trade Compliance Information,US HTS,8542310050
