Section,Key,Value
Ordering and Spec Information,,
"Intel® Core™ i7-1185G7E Processor (12M Cache, up to 4.40 GHz) FC-BGA16F, Tray",Ordering Code,FH8069004541800
"Intel® Core™ i7-1185G7E Processor (12M Cache, up to 4.40 GHz) FC-BGA16F, Tray",Spec Code,SRK0X
"Intel® Core™ i7-1185G7E Processor (12M Cache, up to 4.40 GHz) FC-BGA16F, Tray",Shipping Media,TRAY
"Intel® Core™ i7-1185G7E Processor (12M Cache, up to 4.40 GHz) FC-BGA16F, Tray",Stepping,B1
"Intel® Core™ i7-1185G7E Processor (12M Cache, up to 4.40 GHz) FC-BGA16F, Tray",MDDS Content IDs,706901
"Intel® Core™ i7-1185G7E Processor (12M Cache, up to 4.40 GHz) FC-BGA16F, Tray",PCN Content IDs,"798466,803715"
"Intel® Core™ i7-1185G7E Processor (12M Cache, up to 4.40 GHz) FC-BGA16F, Tray",Recommended Customer Price,$431.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G167599
Trade Compliance Information,US HTS,8542310050
