Section,Key,Value
Ordering and Spec Information,,
"Intel® Core™ i7-1270P Processor (18M Cache, up to 4.80 GHz) FC-BGA16F, Tray",Ordering Code,FJ8071504786708
"Intel® Core™ i7-1270P Processor (18M Cache, up to 4.80 GHz) FC-BGA16F, Tray",Spec Code,SRLD7
"Intel® Core™ i7-1270P Processor (18M Cache, up to 4.80 GHz) FC-BGA16F, Tray",Shipping Media,TRAY
"Intel® Core™ i7-1270P Processor (18M Cache, up to 4.80 GHz) FC-BGA16F, Tray",Stepping,L0
"Intel® Core™ i7-1270P Processor (18M Cache, up to 4.80 GHz) FC-BGA16F, Tray",MDDS Content IDs,"713029,729074,847697"
"Intel® Core™ i7-1270P Processor (18M Cache, up to 4.80 GHz) FC-BGA16F, Tray",PCN Content IDs,839172
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G167599
Trade Compliance Information,US HTS,8542310050
