Section,Key,Value
Ordering and Spec Information,,
"Intel® Core™ i7-13800HRE Processor (24M Cache, up to 5.00 GHz) FC-BGA16F, Tray",Ordering Code,FJ8071505204006
"Intel® Core™ i7-13800HRE Processor (24M Cache, up to 5.00 GHz) FC-BGA16F, Tray",Spec Code,SRMRG
"Intel® Core™ i7-13800HRE Processor (24M Cache, up to 5.00 GHz) FC-BGA16F, Tray",Shipping Media,TRAY
"Intel® Core™ i7-13800HRE Processor (24M Cache, up to 5.00 GHz) FC-BGA16F, Tray",Stepping,J0
"Intel® Core™ i7-13800HRE Processor (24M Cache, up to 5.00 GHz) FC-BGA16F, Tray",MDDS Content IDs,785273
"Intel® Core™ i7-13800HRE Processor (24M Cache, up to 5.00 GHz) FC-BGA16F, Tray",Recommended Customer Price,$496.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,740.17B1
Trade Compliance Information,US HTS,8542310050
