Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i7-3940XM Processor Extreme Edition (8M Cache, up to 3.90 GHz) FC-PGA12F, Tray",Ordering Code,AW8063801103501
"Intel® Core™ i7-3940XM Processor Extreme Edition (8M Cache, up to 3.90 GHz) FC-PGA12F, Tray",Spec Code,SR0US
"Intel® Core™ i7-3940XM Processor Extreme Edition (8M Cache, up to 3.90 GHz) FC-PGA12F, Tray",Shipping Media,TRAY
"Intel® Core™ i7-3940XM Processor Extreme Edition (8M Cache, up to 3.90 GHz) FC-PGA12F, Tray",Stepping,E1
"Intel® Core™ i7-3940XM Processor Extreme Edition (8M Cache, up to 3.90 GHz) FC-PGA12F, Tray",MDDS Content IDs,707451
"Intel® Core™ i7-3940XM Processor Extreme Edition (8M Cache, up to 3.90 GHz) FC-PGA12F, Tray",PCN Content IDs,"802395,799624,813824,799685,808694,809238,813819"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
