Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i7-4600M Processor (4M Cache, up to 3.60 GHz) FC-PGA12F, Tray",Ordering Code,CW8064701486306
"Intel® Core™ i7-4600M Processor (4M Cache, up to 3.60 GHz) FC-PGA12F, Tray",Spec Code,SR1H7
"Intel® Core™ i7-4600M Processor (4M Cache, up to 3.60 GHz) FC-PGA12F, Tray",Shipping Media,TRAY
"Intel® Core™ i7-4600M Processor (4M Cache, up to 3.60 GHz) FC-PGA12F, Tray",Stepping,C0
"Intel® Core™ i7-4600M Processor (4M Cache, up to 3.60 GHz) FC-PGA12F, Tray",MDDS Content IDs,706984
"Intel® Core™ i7-4600M Processor (4M Cache, up to 3.60 GHz) FC-PGA12F, Tray",PCN Content IDs,"799685,799686,805104,802395,808591,802705,809238,813819"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
